Ｍ,日付,開催,Ｒ,レース名,馬名,Ｃ,性別,年齢,騎手,斤量,頭数,馬番,馬印,馬印2,馬印3,馬印4,レース印１,馬主(最新/仮想),人気,着順,芝・ダ,距離,コース区分,馬場状態,賞金,多頭出し,所属,調教師,走破タイム,着差,2角,3角,4角,上り3F,PCI,好走,PCI3,RPCI,上3F地点差,馬体重,馬体重増減,ブリンカー,単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単,間隔,前走日付,前走開催,前走Ｒ,前走レース名,替,前騎手,前走斤量,前走頭数,前走馬番,前走人気,前走着順,前芝・ダ,前距離,前走馬場状態,前走走破タイム,前走着差タイム,前2角,前3角,前4角,前走上り3F,前PCI,前好走,前走馬体重,前走馬体重増減,前走B,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１
,250412,2阪5,11,阪神牝馬G2,サフィラ,,牝,4,松山弘平, 55 ,14,11,"  ","  ","  ","  ",,シルクレーシング,9,１,芝,1600,B,良,5500,,(栗),池添学,1328,-0.0,,2,2,33.3,57.2,*,58.73,56.7,0.1,464,0,,2970,770,7850,8640,23880,39970,362400,9,250209,1京4,9,斑鳩Ｓ･3勝,,松山弘平, 56 ,14,8,3,３,芝,1600,稍,1353, 0.3,,3,3,34.9,53.8,*,464,0,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,アルジーヌ,,牝,5,幸英明, 55 ,14,1,"  ","  ","  ","  ",,ロードホースクラブ,3,２,芝,1600,B,良,2200,,(栗),中内田充,1328,0.0,,5,6,33.0,58.7,*,58.73,56.7,0.4,464,+12,,(6.2),270,7850,8640,23880,39970,362400,17,241214,5中5,11,ターコイＨG3,*,西村淳也,55.5,16,6,2,１,芝,1600,良,1332,-0.1,8,7,7,34.4,52.6,*,452,-2,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ラヴァンダ,,牝,4,岩田望来, 55 ,14,9,"  ","  ","  ","  ",,森永聡,8,３,芝,1600,B,良,1400,,(栗),中村直也,1328,0.0,,10,11,32.7,60.3,*,58.73,56.7,0.7,482,-2,,(19.1),560,,,,39970,362400,4,250315,1阪5,10,難波Ｓ･3勝,,岩田望来, 56 ,15,1,4,２,芝,1800,良,1453, 0.1,,6,7,33.9,55.3,*,484,-4,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ビヨンドザヴァレー,,牝,5,菱田裕二, 55 ,14,2,"  ","  ","  ","  ",,社台レースホース,6,４,芝,1600,B,良,830,,(栗),橋口慎介,1330,0.2,,5,4,33.3,57.6,*,58.73,56.7,0.3,474,+2,,(15.3),,,,,,,5,250308,2中3,11,中山牝馬ＨG3,,菱田裕二, 54 ,14,2,7,４,芝,1800,良,1473, 0.2,6,7,7,34.9,53.7,*,472,+2,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ボンドガール,,牝,4,武豊, 55 ,14,10,"  ","  ","  ","  ",,藤田晋,1,５,芝,1600,B,良,550,,(美),手塚貴久,1330,0.2,,11,11,32.9,59.6,*,58.73,56.7,0.7,448,-8,,(2.5),,,,,,,9,250209,1東4,11,東京新聞G3,,武豊, 55 ,16,4,2,２,芝,1600,良,1327, 0.1,,6,6,33.7,55.0,*,456,+8,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ソーダズリング,,牝,5,坂井瑠星, 55 ,14,4,"  ","  ","  ","  ",,社台レースホース,5,６,芝,1600,B,良,0,,(栗),新谷功一,1331,0.3,,7,6,33.3,57.7,*,58.73,56.7,0.4,468,-4,,(9.7),,,,,,,7,250222,1京7,11,阪急杯G3,*,浜中俊, 55 ,18,13,3,３,芝,1400,良,1219, 0.2,,10,8,34.3,54.1,*,472,-6,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,タガノエルピーダ,,牝,4,団野大成, 55 ,14,3,"  ","  ","  ","  ",,八木良司,2,７,芝,1600,B,良,0,,(栗),斉藤崇史,1332,0.4,,3,3,33.6,56.4,*,58.73,56.7,0.2,458,-8,,(5.5),,,,,,,9,250209,1京4,9,斑鳩Ｓ･3勝,,団野大成, 56 ,14,2,1,１,芝,1600,稍,1350,-0.0,,3,3,34.6,54.7,*,466,+10,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ドゥアイズ,,牝,5,鮫島克駿, 55 ,14,5,"  ","  ","  ","  ",,G1レーシング,7,８,芝,1600,B,良,0,*,(栗),庄野靖志,1332,0.4,,8,9,33.2,58.4,*,58.73,56.7,0.6,484,0,,(16.6),,,,,,,14,250105,1名1,11,京都金杯ＨG3,*,武豊,55.5,16,15,3,11,芝,1600,良,1349, 1.4,12,10,11,35.8,49.1,,484,+4,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ドナベティ,,牝,4,藤岡佑介, 55 ,14,6,"  ","  ","  ","  ",,小川眞査雄,14,９,芝,1600,B,良,0,,(栗),矢作芳人,1333,0.5,,13,13,33.0,59.6,*,58.73,56.7,0.9,428,-2,,(300.2),,,,,,,3,250323,2名4,11,愛知杯G3,*,丸山元気, 55 ,18,8,17,13,芝,1400,良,1213, 1.1,,18,18,34.6,51.2,*,430,-10,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ウンブライル,,牝,5,シュタル, 55 ,14,13,"  ","  ","  ","  ",,サンデーレーシング,10,10,芝,1600,B,良,0,,(美),木村哲也,1334,0.6,,12,13,33.1,59.3,*,58.73,56.7,0.9,476,-14,B,(36.8),,,,,,,10,250201,1東1,11,白富士Ｓ(L),*,横山武史, 58 ,13,7,8,７,芝,2000,良,1597, 0.6,2,5,3,34.5,55.8,*,490,+6,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,キミノナハマリア,,牝,5,Ｍ．デム, 55 ,14,8,"  ","  ","  ","  ",,浦野和由,12,11,芝,1600,B,良,0,,(栗),千田輝彦,1334,0.6,,8,9,33.4,57.8,*,58.73,56.7,0.6,506,-8,,(87.6),,,,,,,5,250308,2中3,11,中山牝馬ＨG3,*,菅原明良, 54 ,14,13,12,10,芝,1800,良,1478, 0.7,10,11,12,35.1,53.6,*,514,+10,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,スウィープフィート,,牝,4,横山典弘, 55 ,14,7,"  ","  ","  ","  ",,YGGホースクラブ,4,12,芝,1600,B,良,0,*,(栗),庄野靖志,1334,0.6,,14,6,33.6,56.8,*,58.73,56.7,0.4,488,-2,,(7.2),,,,,,,3,250323,2名4,11,愛知杯G3,*,永島まな, 56 ,18,17,5,６,芝,1400,良,1208, 0.6,,17,17,34.4,51.2,*,490,+24,,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,ヒルノローザンヌ,,牝,6,池添謙一, 55 ,14,12,"  ","  ","  ","  ",,ヒルノ,13,13,芝,1600,B,良,0,,(栗),西村真幸,1337,0.9,,3,4,34.0,55.4,*,58.73,56.7,0.3,478,-12,B,(266.6),,,,,,,8,250215,1京5,11,洛陽ＳＨ(L),*,酒井学, 52 ,16,9,15,15,芝,1600,良,1355, 1.7,,13,14,35.1,53.2,,490,-2,B,"  ","  ","  ","  ",
,250412,2阪5,11,阪神牝馬G2,イフェイオン,,牝,4,北村友一, 55 ,14,14,"  ","  ","  ","  ",,社台レースホース,11,14,芝,1600,B,良,0,,(栗),杉山佳明,1342,1.4,,1,1,34.8,52.4,,58.73,56.7,0.0,486,+4,,(47.4),,,,,,,3,250323,2名4,11,愛知杯G3,*,川又賢治, 55 ,18,7,4,11,芝,1400,良,1213, 1.1,,4,4,36.6,41.6,,482,-6,,"  ","  ","  ","  ",
,240406,2阪5,11,阪神牝馬G2,マスクトディーヴァ,,牝,4,モレイラ, 56 ,11,1,"  ","  ","  ","  ",,社台レースホース,1,１,芝,1600,B,良,5500,,(栗),辻野泰之,1330,-0.1,,4,4,33.0,59.1,*,59.70,56.6,0.5,456,+2,,170,110,880,870,1050,2220,5890,9,240204,1東4,11,東京新聞G3,*,岩田望来, 56 ,16,6,1,６,芝,1600,良,1325, 0.4,,11,11,33.2,57.2,*,454,+10,,"  ","  ","  ","  ",
,240406,2阪5,11,阪神牝馬G2,ウンブライル,,牝,4,川田将雅, 55 ,11,9,"  ","  ","  ","  ",,サンデーレーシング,4,２,芝,1600,B,良,2200,,(美),木村哲也,1331,0.1,,7,7,32.9,59.8,*,59.70,56.6,0.7,476,-10,B,(9.1),210,880,870,1050,2220,5890,9,240204,1東4,11,東京新聞G3,*,ルメール, 55 ,16,9,3,９,芝,1600,良,1327, 0.6,,6,7,34.0,53.6,*,486,+22,B,"  ","  ","  ","  ",
,240406,2阪5,11,阪神牝馬G2,モリアーナ,,牝,4,横山典弘, 56 ,11,6,"  ","  ","  ","  ",,高橋文男,3,３,芝,1600,B,良,1400,,(美),武藤善則,1333,0.3,,9,9,32.9,60.2,*,59.70,56.6,0.9,482,0,,(9.0),190,,,,2220,5890,11,240121,1中7,11,アメリカG2,,横山典弘, 54 ,12,3,4,４,芝,2200,不,2168, 0.2,12,12,8,36.9,51.5,*,482,+4,,"  ","  ","  ","  ",
