Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,斤量,頭数,人気,着順,芝・ダ,距離,コース区分,馬場状態,走破タイム,着差,上3F地点差,2角,3角,4角,Ave-3F,上り3F,PCI,好走,PCI3,RPCI,平均速度,-3F平均速度,上り3F平均速度,騎手,多頭出し,所属,調教師
,250412,2阪5,11,阪神牝馬G2,サフィラ,,牝,4, 55 ,14,9,１,芝,1600,B,良,1328,-0.0,0.1,,2,2,35.70,33.3,57.2,*,58.73,56.7,62.07,60.50,64.86,松山弘平,,(栗),池添学
,250412,2阪5,11,阪神牝馬G2,アルジーヌ,,牝,5, 55 ,14,3,２,芝,1600,B,良,1328,0.0,0.4,,5,6,35.88,33.0,58.7,*,58.73,56.7,62.07,60.20,65.45,幸英明,,(栗),中内田充
,250412,2阪5,11,阪神牝馬G2,ラヴァンダ,,牝,4, 55 ,14,8,３,芝,1600,B,良,1328,0.0,0.7,,10,11,36.06,32.7,60.3,*,58.73,56.7,62.07,59.90,66.06,岩田望来,,(栗),中村直也
,250412,2阪5,11,阪神牝馬G2,ビヨンドザヴァレー,,牝,5, 55 ,14,6,４,芝,1600,B,良,1330,0.2,0.3,,5,4,35.82,33.3,57.6,*,58.73,56.7,61.94,60.30,64.86,菱田裕二,,(栗),橋口慎介
,250412,2阪5,11,阪神牝馬G2,ボンドガール,,牝,4, 55 ,14,1,５,芝,1600,B,良,1330,0.2,0.7,,11,11,36.06,32.9,59.6,*,58.73,56.7,61.94,59.90,65.65,武豊,,(美),手塚貴久
,250412,2阪5,11,阪神牝馬G2,ソーダズリング,,牝,5, 55 ,14,5,６,芝,1600,B,良,1331,0.3,0.4,,7,6,35.88,33.3,57.7,*,58.73,56.7,61.87,60.20,64.86,坂井瑠星,,(栗),新谷功一
,250412,2阪5,11,阪神牝馬G2,タガノエルピーダ,,牝,4, 55 ,14,2,７,芝,1600,B,良,1332,0.4,0.2,,3,3,35.76,33.6,56.4,*,58.73,56.7,61.80,60.40,64.29,団野大成,,(栗),斉藤崇史
,250412,2阪5,11,阪神牝馬G2,ドゥアイズ,,牝,5, 55 ,14,7,８,芝,1600,B,良,1332,0.4,0.6,,8,9,36.00,33.2,58.4,*,58.73,56.7,61.80,60.00,65.06,鮫島克駿,*,(栗),庄野靖志
,250412,2阪5,11,阪神牝馬G2,ドナベティ,,牝,4, 55 ,14,14,９,芝,1600,B,良,1333,0.5,0.9,,13,13,36.18,33.0,59.6,*,58.73,56.7,61.74,59.70,65.45,藤岡佑介,,(栗),矢作芳人
,250412,2阪5,11,阪神牝馬G2,ウンブライル,,牝,5, 55 ,14,10,10,芝,1600,B,良,1334,0.6,0.9,,12,13,36.18,33.1,59.3,*,58.73,56.7,61.67,59.70,65.26,シュタル,,(美),木村哲也
,250412,2阪5,11,阪神牝馬G2,キミノナハマリア,,牝,5, 55 ,14,12,11,芝,1600,B,良,1334,0.6,0.6,,8,9,36.00,33.4,57.8,*,58.73,56.7,61.67,60.00,64.67,Ｍ．デム,,(栗),千田輝彦
,250412,2阪5,11,阪神牝馬G2,スウィープフィート,,牝,4, 55 ,14,4,12,芝,1600,B,良,1334,0.6,0.4,,14,6,35.88,33.6,56.8,*,58.73,56.7,61.67,60.20,64.29,横山典弘,*,(栗),庄野靖志
,250412,2阪5,11,阪神牝馬G2,ヒルノローザンヌ,,牝,6, 55 ,14,13,13,芝,1600,B,良,1337,0.9,0.3,,3,4,35.82,34.0,55.4,*,58.73,56.7,61.47,60.30,63.53,池添謙一,,(栗),西村真幸
,250412,2阪5,11,阪神牝馬G2,イフェイオン,,牝,4, 55 ,14,11,14,芝,1600,B,良,1342,1.4,0.0,,1,1,35.64,34.8,52.4,,58.73,56.7,61.15,60.61,62.07,北村友一,,(栗),杉山佳明
,240406,2阪5,11,阪神牝馬G2,マスクトディーヴァ,,牝,4, 56 ,11,1,１,芝,1600,B,良,1330,-0.1,0.5,,4,4,36.00,33.0,59.1,*,59.70,56.6,61.94,60.00,65.45,モレイラ,,(栗),辻野泰之
,240406,2阪5,11,阪神牝馬G2,ウンブライル,,牝,4, 55 ,11,4,２,芝,1600,B,良,1331,0.1,0.7,,7,7,36.12,32.9,59.8,*,59.70,56.6,61.87,59.80,65.65,川田将雅,,(美),木村哲也
,240406,2阪5,11,阪神牝馬G2,モリアーナ,,牝,4, 56 ,11,3,３,芝,1600,B,良,1333,0.3,0.9,,9,9,36.24,32.9,60.2,*,59.70,56.6,61.74,59.60,65.65,横山典弘,,(美),武藤善則
,240406,2阪5,11,阪神牝馬G2,シングザットソング,,牝,4, 55 ,11,7,４,芝,1600,B,良,1333,0.3,0.6,,5,4,36.06,33.2,58.6,*,59.70,56.6,61.74,59.90,65.06,鮫島克駿,,(栗),高野友和
,240406,2阪5,11,阪神牝馬G2,ドゥアイズ,,牝,4, 55 ,11,2,５,芝,1600,B,良,1334,0.4,0.9,,9,9,36.24,33.0,59.8,*,59.70,56.6,61.67,59.60,65.45,ムルザバ,,(栗),庄野靖志
,240406,2阪5,11,阪神牝馬G2,テンハッピーローズ,,牝,6, 55 ,11,9,６,芝,1600,B,良,1334,0.4,0.7,,7,7,36.12,33.2,58.8,*,59.70,56.6,61.67,59.80,65.06,津村明秀,,(栗),高柳大輔
,240406,2阪5,11,阪神牝馬G2,モズゴールドバレル,,牝,5, 55 ,11,5,７,芝,1600,B,良,1335,0.5,0.3,,3,2,35.88,33.7,56.5,*,59.70,56.6,61.60,60.20,64.09,藤岡佑介,,(栗),藤岡健一
,240406,2阪5,11,阪神牝馬G2,ゴールドエクリプス,,牝,5, 55 ,11,8,８,芝,1600,B,良,1338,0.8,0.2,,2,2,35.82,34.1,55.0,*,59.70,56.6,61.41,60.30,63.34,岩田望来,,(栗),大久保龍
,240406,2阪5,11,阪神牝馬G2,サブライムアンセム,,牝,5, 55 ,11,10,９,芝,1600,B,良,1338,0.8,0.0,,1,1,35.70,34.3,54.1,*,59.70,56.6,61.41,60.50,62.97,北村友一,,(栗),藤原英昭
,240406,2阪5,11,阪神牝馬G2,ライラック,,牝,5, 55 ,11,6,10,芝,1600,B,良,1342,1.2,0.5,,5,4,36.00,34.2,55.3,,59.70,56.6,61.15,60.00,63.16,戸崎圭太,,(美),相沢郁
,240406,2阪5,11,阪神牝馬G2,スピーディキック,,牝,5, 55 ,11,11,11,芝,1600,B,良,1363,3.3,1.1,,11,11,36.36,35.7,51.8,,59.70,56.6,59.81,59.41,60.50,御神本訓,,[地],藤原智行
,230408,2阪5,11,阪神牝馬G2,サウンドビバーチェ,,牝,4, 55 ,12,6,１,芝,1600,B,稍,1339,-0.2,0.1,,2,2,35.88,34.1,55.2,*,55.67,54.7,61.34,60.20,63.34,浜中俊,*,(栗),高柳大輔
,230408,2阪5,11,阪神牝馬G2,サブライムアンセム,,牝,4, 55 ,12,10,２,芝,1600,B,稍,1341,0.2,0.3,,3,3,36.00,34.1,55.6,*,55.67,54.7,61.21,60.00,63.34,岩田望来,*,(栗),藤原英昭
,230408,2阪5,11,阪神牝馬G2,コスタボニータ,,牝,4, 55 ,12,9,３,芝,1600,B,稍,1342,0.3,0.5,,6,5,36.12,34.0,56.2,*,55.67,54.7,61.15,59.80,63.53,鮫島克駿,,(栗),杉山佳明
,230408,2阪5,11,阪神牝馬G2,ウインシャーロット,,牝,5, 55 ,12,2,４,芝,1600,B,稍,1342,0.3,0.0,,1,1,35.82,34.5,53.8,*,55.67,54.7,61.15,60.30,62.61,石川裕紀,,(美),和田正一
,230408,2阪5,11,阪神牝馬G2,アンドヴァラナウト,,牝,5, 55 ,12,7,５,芝,1600,B,稍,1343,0.4,1.0,,10,11,36.42,33.6,58.4,*,55.67,54.7,61.08,59.31,64.29,吉田隼人,,(栗),池添学
,230408,2阪5,11,阪神牝馬G2,ルージュスティリア,,牝,4, 55 ,12,1,６,芝,1600,B,稍,1344,0.5,0.6,,5,8,36.18,34.1,56.1,*,55.67,54.7,61.02,59.70,63.34,川田将雅,*,(栗),藤原英昭
,230408,2阪5,11,阪神牝馬G2,テンハッピーローズ,,牝,5, 55 ,12,12,７,芝,1600,B,稍,1344,0.5,0.7,,8,8,36.24,34.0,56.6,*,55.67,54.7,61.02,59.60,63.53,藤岡康太,*,(栗),高柳大輔
,230408,2阪5,11,阪神牝馬G2,フラーズダルム,,牝,5, 55 ,12,8,８,芝,1600,B,稍,1344,0.5,0.9,,10,11,36.36,33.8,57.6,*,55.67,54.7,61.02,59.41,63.91,北村友一,,(栗),松永昌博
,230408,2阪5,11,阪神牝馬G2,ママコチャ,,牝,4, 55 ,12,3,９,芝,1600,B,稍,1346,0.7,0.2,,8,3,35.94,34.7,53.6,*,55.67,54.7,60.89,60.10,62.25,松山弘平,,(栗),池江泰寿
,230408,2阪5,11,阪神牝馬G2,イズジョーノキセキ,,牝,6, 56 ,12,5,10,芝,1600,B,稍,1348,0.9,0.4,,3,5,36.06,34.7,53.9,*,55.67,54.7,60.76,59.90,62.25,岩田康誠,,(栗),石坂公一
,230408,2阪5,11,阪神牝馬G2,ピンハイ,,牝,4, 55 ,12,4,11,芝,1600,B,稍,1349,1.0,0.5,,6,5,36.12,34.7,54.1,*,55.67,54.7,60.70,59.80,62.25,高倉稜,,(栗),田中克典
,230408,2阪5,11,阪神牝馬G2,ディヴィーナ,,牝,5, 55 ,12,11,12,芝,1600,B,稍,1353,1.4,0.7,,10,8,36.24,34.9,53.8,,55.67,54.7,60.44,59.60,61.89,池添謙一,,(栗),友道康夫
,220409,2阪5,11,阪神牝馬G2,メイショウミモザ,,牝,5, 54 ,12,9,１,芝,1600,B,良,1328,-0.1,1.0,,6,6,35.46,33.7,55.2,*,54.60,50.5,62.07,60.91,64.09,鮫島克駿,,(栗),池添兼雄
,220409,2阪5,11,阪神牝馬G2,アンドヴァラナウト,,牝,4, 55 ,12,1,２,芝,1600,B,良,1329,0.1,0.6,,3,2,35.22,34.2,53.0,*,54.60,50.5,62.00,61.33,63.16,福永祐一,,(栗),池添学
