Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,キャリア,騎手,人気,着順,頭数,種牡馬,母父馬,馬主(最新/仮想),生産者,毛色,馬記号,生年月日,市場取引価格(万/最終),取引市場(最終),産地
,250412,2阪5,11,阪神牝馬G2,サフィラ,,牝,4,10,松山弘平,9,１,14,ハーツクライ,Lomitas,シルクレーシング,ノーザンファーム,黒鹿,,2021. 2. 1,,,安平町
,250412,2阪5,11,阪神牝馬G2,アルジーヌ,,牝,5,11,幸英明,3,２,14,ロードカナロア,ディープインパクト,ロードホースクラブ,ケイアイファーム,黒鹿,,2020. 4.25,,,新ひだか町
,250412,2阪5,11,阪神牝馬G2,ラヴァンダ,,牝,4,11,岩田望来,8,３,14,シルバーステート,ベーカバド,森永聡,森永聡,黒鹿,,2021. 3.10,,,新冠町
,250412,2阪5,11,阪神牝馬G2,ビヨンドザヴァレー,,牝,5,16,菱田裕二,6,４,14,イスラボニータ,Galileo,社台レースホース,社台ファーム,鹿毛,,2020. 4.27,,,千歳市
,250412,2阪5,11,阪神牝馬G2,ボンドガール,,牝,4,8,武豊,1,５,14,ダイワメジャー,Tizway,藤田晋,ノーザンファーム,鹿毛,,2021. 1.19,23100万,セレクトセール,安平町
,250412,2阪5,11,阪神牝馬G2,ソーダズリング,,牝,5,11,坂井瑠星,5,６,14,ハーツクライ,シンボリクリスエス,社台レースホース,社台ファーム,黒鹿,,2020. 3.30,,,千歳市
,250412,2阪5,11,阪神牝馬G2,タガノエルピーダ,,牝,4,9,団野大成,2,７,14,キズナ,キングカメハメハ,八木良司,新冠タガノファーム,黒鹿,,2021. 4.20,,,新冠町
,250412,2阪5,11,阪神牝馬G2,ドゥアイズ,,牝,5,15,鮫島克駿,7,８,14,ルーラーシップ,ディープインパクト,G1レーシング,ノーザンファーム,鹿毛,,2020. 3.29,,,安平町
,250412,2阪5,11,阪神牝馬G2,ドナベティ,,牝,4,13,藤岡佑介,14,９,14,リアルスティール,"Malibu Moon",小川眞査雄,下屋敷牧場,鹿毛,,2021. 3.10,,,新ひだか町
,250412,2阪5,11,阪神牝馬G2,ウンブライル,,牝,5,12,シュタル,10,10,14,ロードカナロア,ファルブラヴ,サンデーレーシング,ノーザンファーム,鹿毛,,2020. 1.16,,,安平町
,250412,2阪5,11,阪神牝馬G2,キミノナハマリア,,牝,5,19,Ｍ．デム,12,11,14,ハービンジャー,ヴィクトワールピサ,浦野和由,社台ファーム,栗毛,,2020. 4. 8,1320万,セレクトセール,千歳市
,250412,2阪5,11,阪神牝馬G2,スウィープフィート,,牝,4,9,横山典弘,4,12,14,スワーヴリチャード,ディープスカイ,YGGホースクラブ,聖心台牧場,栗毛,,2021. 4. 5,385万,北海道サマーセール,新ひだか町
,250412,2阪5,11,阪神牝馬G2,ヒルノローザンヌ,,牝,6,32,池添謙一,13,13,14,キズナ,Cryptoclearance,ヒルノ,新冠橋本牧場,黒鹿,,2019. 2. 4,,,新冠町
,250412,2阪5,11,阪神牝馬G2,イフェイオン,,牝,4,9,北村友一,11,14,14,エピファネイア,ゼンノロブロイ,社台レースホース,社台ファーム,芦毛,,2021. 4. 1,,,千歳市
,240406,2阪5,11,阪神牝馬G2,マスクトディーヴァ,,牝,4,6,モレイラ,1,１,11,ルーラーシップ,ディープインパクト,社台レースホース,社台ファーム,黒鹿,,2020. 5.12,,,千歳市
,240406,2阪5,11,阪神牝馬G2,ウンブライル,,牝,4,7,川田将雅,4,２,11,ロードカナロア,ファルブラヴ,サンデーレーシング,ノーザンファーム,鹿毛,,2020. 1.16,,,安平町
,240406,2阪5,11,阪神牝馬G2,モリアーナ,,牝,4,9,横山典弘,3,３,11,エピファネイア,ダイワメジャー,高橋文男,ノーザンファーム,鹿毛,,2020. 3. 2,3300万,セレクトセール,安平町
,240406,2阪5,11,阪神牝馬G2,シングザットソング,,牝,4,10,鮫島克駿,7,４,11,ドゥラメンテ,"My Golden Song",社台レースホース,社台コーポレーション白老ファーム,黒鹿,,2020. 1.27,,,白老町
,240406,2阪5,11,阪神牝馬G2,ドゥアイズ,,牝,4,10,ムルザバ,2,５,11,ルーラーシップ,ディープインパクト,G1レーシング,ノーザンファーム,鹿毛,,2020. 3.29,,,安平町
,240406,2阪5,11,阪神牝馬G2,テンハッピーローズ,,牝,6,22,津村明秀,9,６,11,エピファネイア,タニノギムレット,天白泰司,社台ファーム,栗毛,,2018. 2.26,,,千歳市
,240406,2阪5,11,阪神牝馬G2,モズゴールドバレル,,牝,5,17,藤岡佑介,5,７,11,Optimizer,"Rock of Gibraltar",キャピタル・システム,"Timothy Lesley Thompson",黒鹿,(外),2019. 5.19,,,米
,240406,2阪5,11,阪神牝馬G2,ゴールドエクリプス,,牝,5,12,岩田望来,8,８,11,ドゥラメンテ,ハービンジャー,居城寿与,北勝ファーム,栗毛,,2019. 4.14,,,新冠町
,240406,2阪5,11,阪神牝馬G2,サブライムアンセム,,牝,5,17,北村友一,10,９,11,ロードカナロア,シンボリクリスエス,サンデーレーシング,ノーザンファーム,鹿毛,,2019. 1.26,,,安平町
,240406,2阪5,11,阪神牝馬G2,ライラック,,牝,5,14,戸崎圭太,6,10,11,オルフェーヴル,キングカメハメハ,芹澤精一,杵臼牧場,鹿毛,,2019. 4.28,,,浦河町
,240406,2阪5,11,阪神牝馬G2,スピーディキック,,牝,5,21,御神本訓,11,11,11,タイセイレジェンド,サイレントディール,加藤鈴幸,熊谷武,栗毛,[地],2019. 3. 5,,,浦河
,230408,2阪5,11,阪神牝馬G2,サウンドビバーチェ,,牝,4,10,浜中俊,6,１,12,ドゥラメンテ,"Johan Cruyff",増田雄一,三嶋牧場,黒鹿,,2019. 4.19,,,浦河町
,230408,2阪5,11,阪神牝馬G2,サブライムアンセム,,牝,4,11,岩田望来,10,２,12,ロードカナロア,シンボリクリスエス,サンデーレーシング,ノーザンファーム,鹿毛,,2019. 1.26,,,安平町
,230408,2阪5,11,阪神牝馬G2,コスタボニータ,,牝,4,9,鮫島克駿,9,３,12,イスラボニータ,Kendor,谷掛龍夫,社台ファーム,芦毛,,2019. 4.29,,,千歳市
,230408,2阪5,11,阪神牝馬G2,ウインシャーロット,,牝,5,15,石川裕紀,2,４,12,スクリーンヒーロー,ジャングルポケット,ウイン,コスモヴューファーム,鹿毛,,2018. 5.30,,,新冠町
,230408,2阪5,11,阪神牝馬G2,アンドヴァラナウト,,牝,5,13,吉田隼人,7,５,12,キングカメハメハ,ディープインパクト,サンデーレーシング,ノーザンファーム,黒鹿,,2018. 2.21,,,安平町
,230408,2阪5,11,阪神牝馬G2,ルージュスティリア,,牝,4,6,川田将雅,1,６,12,ディープインパクト,"Storm Cat",東京ホースレーシング,社台牧場,鹿毛,,2019. 3.19,,,白老町
,230408,2阪5,11,阪神牝馬G2,テンハッピーローズ,,牝,5,17,藤岡康太,12,７,12,エピファネイア,タニノギムレット,天白泰司,社台ファーム,栗毛,,2018. 2.26,,,千歳市
,230408,2阪5,11,阪神牝馬G2,フラーズダルム,,牝,5,19,北村友一,8,８,12,キズナ,ホワイトマズル,吉田勝己,ノーザンファーム,黒鹿,,2018. 3. 1,,,安平町
,230408,2阪5,11,阪神牝馬G2,ママコチャ,,牝,4,9,松山弘平,3,９,12,クロフネ,キングカメハメハ,金子真人ホールディングス,ノーザンファーム,鹿毛,,2019. 4. 5,,,安平町
,230408,2阪5,11,阪神牝馬G2,イズジョーノキセキ,,牝,6,23,岩田康誠,5,10,12,エピファネイア,キングカメハメハ,泉一郎,沖田哲夫,鹿毛,,2017. 2.16,,,新ひだか町
,230408,2阪5,11,阪神牝馬G2,ピンハイ,,牝,4,7,高倉稜,4,11,12,ミッキーアイル,ジャングルポケット,北畑忍,ヒダカフアーム,栗毛,,2019. 2.11,,,浦河町
,230408,2阪5,11,阪神牝馬G2,ディヴィーナ,,牝,5,12,池添謙一,11,12,12,モーリス,ディープインパクト,佐々木主浩,ノーザンファーム,鹿毛,,2018. 2.24,,,安平町
,220409,2阪5,11,阪神牝馬G2,メイショウミモザ,,牝,5,25,鮫島克駿,9,１,12,ハーツクライ,フレンチデピュティ,松本好雄,三嶋牧場,芦毛,,2017. 4.24,,,浦河町
,220409,2阪5,11,阪神牝馬G2,アンドヴァラナウト,,牝,4,8,福永祐一,1,２,12,キングカメハメハ,ディープインパクト,サンデーレーシング,ノーザンファーム,黒鹿,,2018. 2.21,,,安平町
,220409,2阪5,11,阪神牝馬G2,デゼル,,牝,5,11,川田将雅,2,３,12,ディープインパクト,"Le Havre",社台レースホース,社台ファーム,青鹿,,2017. 2.18,,,千歳市
,220409,2阪5,11,阪神牝馬G2,ムジカ,,牝,5,20,池添謙一,8,４,12,エピファネイア,ディープインパクト,ケーエスHD,前谷武志,鹿毛,,2017. 4. 2,,,新ひだか町
,220409,2阪5,11,阪神牝馬G2,マジックキャッスル,,牝,5,14,浜中俊,4,５,12,ディープインパクト,シンボリクリスエス,社台レースホース,社台ファーム,鹿毛,,2017. 3. 3,,,千歳市
,220409,2阪5,11,阪神牝馬G2,ジェラルディーナ,,牝,4,11,幸英明,3,６,12,モーリス,ディープインパクト,サンデーレーシング,ノーザンファーム,鹿毛,,2018. 5.12,,,安平町
,220409,2阪5,11,阪神牝馬G2,クリスティ,,牝,5,17,松若風馬,6,７,12,キズナ,クロフネ,薪浦英稔,荻伏三好フアーム,芦毛,,2017. 4. 7,,,浦河町
,220409,2阪5,11,阪神牝馬G2,ラルナブリラーレ,,牝,5,17,和田竜二,5,８,12,ハーツクライ,Almutawakel,社台レースホース,社台ファーム,鹿毛,,2017. 4.26,,,千歳市
,220409,2阪5,11,阪神牝馬G2,テーオーラフィット,,牝,4,10,岩田望来,7,９,12,リオンディーズ,マンハッタンカフェ,小笹公也,ヤナガワ牧場,黒鹿,,2018. 5. 9,,,日高町
,220409,2阪5,11,阪神牝馬G2,ローレルアイリス,,牝,5,18,川又賢治,11,10,12,アドマイヤムーン,スペシャルウィーク,ローレルレーシング,新冠橋本牧場,鹿毛,(地),2017. 1.30,,,新冠町
,220409,2阪5,11,阪神牝馬G2,クリノフラッシュ,,牝,7,29,藤岡佑介,10,11,12,エイシンフラッシュ,サンデーサイレンス,栗本博晴,白井牧場,青鹿,,2015. 5.31,,,日高町
,220409,2阪5,11,阪神牝馬G2,アカイトリノムスメ,,牝,4,8,戸崎圭太,,外,12,ディープインパクト,キングカメハメハ,金子真人ホールディングス,ノーザンファーム,黒鹿,,2018. 4.16,,,安平町
,210410,2阪5,11,阪神牝馬G2,デゼル,,牝,4,6,川田将雅,1,１,12,ディープインパクト,"Le Havre",社台レースホース,社台ファーム,青鹿,,2017. 2.18,,,千歳市
,210410,2阪5,11,阪神牝馬G2,マジックキャッスル,,牝,4,9,大野拓弥,2,２,12,ディープインパクト,シンボリクリスエス,社台レースホース,社台ファーム,鹿毛,,2017. 3. 3,,,千歳市
,210410,2阪5,11,阪神牝馬G2,ドナウデルタ,,牝,5,14,和田竜二,8,３,12,ロードカナロア,ディープインパクト,サンデーレーシング,ノーザンファーム,鹿毛,,2016. 2. 9,,,安平町
,210410,2阪5,11,阪神牝馬G2,プールヴィル,,牝,5,17,三浦皇成,9,４,12,"Le Havre",Kendargent,吉田照哉,社台ファーム,鹿毛,,2016. 3.14,,,千歳市
,210410,2阪5,11,阪神牝馬G2,エーポス,,牝,4,5,岩田康誠,7,５,12,ジャスタウェイ,"Smart Strike",フジワラ・ファーム,フジワラフアーム,栗毛,,2017. 5.11,,,新ひだか町
,210410,2阪5,11,阪神牝馬G2,イベリス,,牝,5,18,酒井学,4,６,12,ロードカナロア,ボストンハーバー,前田幸治,土居牧場,鹿毛,,2016. 3.21,,,新ひだか町
,210410,2阪5,11,阪神牝馬G2,ギルデッドミラー,,牝,4,11,池添謙一,5,７,12,オルフェーヴル,Tiznow,シルクレーシング,ノーザンファーム,鹿毛,,2017. 2.19,,,安平町
,210410,2阪5,11,阪神牝馬G2,ブランノワール,,牝,5,17,団野大成,6,８,12,ロードカナロア,Singspiel,シルクレーシング,ノーザンファーム,鹿毛,,2016. 2.15,,,安平町
,210410,2阪5,11,阪神牝馬G2,リアアメリア,,牝,4,9,福永祐一,3,９,12,ディープインパクト,"Rockport Harbor",シルクレーシング,ノーザンファーム,黒鹿,,2017. 2.21,,,安平町
,210410,2阪5,11,阪神牝馬G2,メイショウグロッケ,,牝,7,31,浜中俊,10,10,12,メイショウサムソン,マンハッタンカフェ,松本好隆,まるとみ冨岡牧場,鹿毛,,2014. 4.19,,,浦河町
,210410,2阪5,11,阪神牝馬G2,ロフティフレーズ,,牝,6,25,幸英明,11,11,12,ロードカナロア,ディープインパクト,水上ふじ子,笠松牧場,黒鹿,,2015. 4. 2,,,浦河町
,210410,2阪5,11,阪神牝馬G2,メジェールスー,,牝,6,26,藤岡康太,12,12,12,ロードカナロア,フジキセキ,太田珠々子,藤原牧場,鹿毛,,2015. 3.14,,,新ひだか町
