Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,250412,阪神牝馬G2,サフィラ,,牝,4,9,１,9,14,2阪5,芝1600,良,,2,2,1京4,芝,1600,稍,,3,3,3,３, 0.3,3勝,松山弘平,松山弘平,464,0,0, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),池添学,250209,斑鳩Ｓ･3勝
,250412,阪神牝馬G2,アルジーヌ,,牝,5,3,２,17,14,2阪5,芝1600,良,,5,6,5中5,芝,1600,良,8,7,7,2,１,-0.1,Ｇ３,幸英明,西村淳也,464,+12,-2, 55 ,55.5,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中内田充,241214,ターコイＨG3
,250412,阪神牝馬G2,ラヴァンダ,,牝,4,8,３,4,14,2阪5,芝1600,良,,10,11,1阪5,芝,1800,良,,6,7,4,２, 0.1,3勝,岩田望来,岩田望来,482,-2,-4, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中村直也,250315,難波Ｓ･3勝
,250412,阪神牝馬G2,ビヨンドザヴァレー,,牝,5,6,４,5,14,2阪5,芝1600,良,,5,4,2中3,芝,1800,良,6,7,7,7,４, 0.2,Ｇ３,菱田裕二,菱田裕二,474,+2,+2, 55 , 54 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),橋口慎介,250308,中山牝馬ＨG3
,250412,阪神牝馬G2,ボンドガール,,牝,4,1,５,9,14,2阪5,芝1600,良,,11,11,1東4,芝,1600,良,,6,6,2,２, 0.1,Ｇ３,武豊,武豊,448,-8,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),手塚貴久,250209,東京新聞G3
,250412,阪神牝馬G2,ソーダズリング,,牝,5,5,６,7,14,2阪5,芝1600,良,,7,6,1京7,芝,1400,良,,10,8,3,３, 0.2,Ｇ３,坂井瑠星,浜中俊,468,-4,-6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),新谷功一,250222,阪急杯G3
,250412,阪神牝馬G2,タガノエルピーダ,,牝,4,2,７,9,14,2阪5,芝1600,良,,3,3,1京4,芝,1600,稍,,3,3,1,１,-0.0,3勝,団野大成,団野大成,458,-8,+10, 55 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),斉藤崇史,250209,斑鳩Ｓ･3勝
,250412,阪神牝馬G2,ドゥアイズ,,牝,5,7,８,14,14,2阪5,芝1600,良,,8,9,1名1,芝,1600,良,12,10,11,3,11, 1.4,Ｇ３,鮫島克駿,武豊,484,0,+4, 55 ,55.5,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),庄野靖志,250105,京都金杯ＨG3
,250412,阪神牝馬G2,ドナベティ,,牝,4,14,９,3,14,2阪5,芝1600,良,,13,13,2名4,芝,1400,良,,18,18,17,13, 1.1,Ｇ３,藤岡佑介,丸山元気,428,-2,-10, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,250323,愛知杯G3
,250412,阪神牝馬G2,ウンブライル,,牝,5,10,10,10,14,2阪5,芝1600,良,,12,13,1東1,芝,2000,良,2,5,3,8,７, 0.6,OP(L),シュタル,横山武史,476,-14,+6, 55 , 58 ,B,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),木村哲也,250201,白富士Ｓ(L)
