Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,250412,2阪5,阪神牝馬G2,サフィラ,,牝,4,松山弘平, 55 ,14,"  ",,9,１,芝1600,良,-0.0,,2,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,アルジーヌ,,牝,5,幸英明, 55 ,14,"  ",,3,２,芝1600,良,0.0,,5,6,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ラヴァンダ,,牝,4,岩田望来, 55 ,14,"  ",,8,３,芝1600,良,0.0,,10,11,32.7,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ビヨンドザヴァレー,,牝,5,菱田裕二, 55 ,14,"  ",,6,４,芝1600,良,0.2,,5,4,33.3,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ボンドガール,,牝,4,武豊, 55 ,14,"  ",,1,５,芝1600,良,0.2,,11,11,32.9,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ソーダズリング,,牝,5,坂井瑠星, 55 ,14,"  ",,5,６,芝1600,良,0.3,,7,6,33.3,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,タガノエルピーダ,,牝,4,団野大成, 55 ,14,"  ",,2,７,芝1600,良,0.4,,3,3,33.6,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ドゥアイズ,,牝,5,鮫島克駿, 55 ,14,"  ",,7,８,芝1600,良,0.4,,8,9,33.2,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ドナベティ,,牝,4,藤岡佑介, 55 ,14,"  ",,14,９,芝1600,良,0.5,,13,13,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ウンブライル,,牝,5,シュタル, 55 ,14,"  ",,10,10,芝1600,良,0.6,,12,13,33.1,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,キミノナハマリア,,牝,5,Ｍ．デム, 55 ,14,"  ",,12,11,芝1600,良,0.6,,8,9,33.4,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,スウィープフィート,,牝,4,横山典弘, 55 ,14,"  ",,4,12,芝1600,良,0.6,,14,6,33.6,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,ヒルノローザンヌ,,牝,6,池添謙一, 55 ,14,"  ",,13,13,芝1600,良,0.9,,3,4,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
,250412,2阪5,阪神牝馬G2,イフェイオン,,牝,4,北村友一, 55 ,14,"  ",,11,14,芝1600,良,1.4,,1,1,34.8,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,マスクトディーヴァ,,牝,4,モレイラ, 56 ,11,"  ",,1,１,芝1600,良,-0.1,,4,4,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,ウンブライル,,牝,4,川田将雅, 55 ,11,"  ",,4,２,芝1600,良,0.1,,7,7,32.9,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,モリアーナ,,牝,4,横山典弘, 56 ,11,"  ",,3,３,芝1600,良,0.3,,9,9,32.9,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,シングザットソング,,牝,4,鮫島克駿, 55 ,11,"  ",,7,４,芝1600,良,0.3,,5,4,33.2,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,ドゥアイズ,,牝,4,ムルザバ, 55 ,11,"  ",,2,５,芝1600,良,0.4,,9,9,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,テンハッピーローズ,,牝,6,津村明秀, 55 ,11,"  ",,9,６,芝1600,良,0.4,,7,7,33.2,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,モズゴールドバレル,,牝,5,藤岡佑介, 55 ,11,"  ",,5,７,芝1600,良,0.5,,3,2,33.7,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,ゴールドエクリプス,,牝,5,岩田望来, 55 ,11,"  ",,8,８,芝1600,良,0.8,,2,2,34.1,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,サブライムアンセム,,牝,5,北村友一, 55 ,11,"  ",,10,９,芝1600,良,0.8,,1,1,34.3,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,ライラック,,牝,5,戸崎圭太, 55 ,11,"  ",,6,10,芝1600,良,1.2,,5,4,34.2,,,,,,,,,,,,,,,,,,,,,,,,,
,240406,2阪5,阪神牝馬G2,スピーディキック,,牝,5,御神本訓, 55 ,11,"  ",,11,11,芝1600,良,3.3,,11,11,35.7,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,サウンドビバーチェ,,牝,4,浜中俊, 55 ,12,"  ",,6,１,芝1600,稍,-0.2,,2,2,34.1,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,サブライムアンセム,,牝,4,岩田望来, 55 ,12,"  ",,10,２,芝1600,稍,0.2,,3,3,34.1,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,コスタボニータ,,牝,4,鮫島克駿, 55 ,12,"  ",,9,３,芝1600,稍,0.3,,6,5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,ウインシャーロット,,牝,5,石川裕紀, 55 ,12,"  ",,2,４,芝1600,稍,0.3,,1,1,34.5,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,アンドヴァラナウト,,牝,5,吉田隼人, 55 ,12,"  ",,7,５,芝1600,稍,0.4,,10,11,33.6,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,ルージュスティリア,,牝,4,川田将雅, 55 ,12,"  ",,1,６,芝1600,稍,0.5,,5,8,34.1,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,テンハッピーローズ,,牝,5,藤岡康太, 55 ,12,"  ",,12,７,芝1600,稍,0.5,,8,8,34.0,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,フラーズダルム,,牝,5,北村友一, 55 ,12,"  ",,8,８,芝1600,稍,0.5,,10,11,33.8,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,ママコチャ,,牝,4,松山弘平, 55 ,12,"  ",,3,９,芝1600,稍,0.7,,8,3,34.7,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,イズジョーノキセキ,,牝,6,岩田康誠, 56 ,12,"  ",,5,10,芝1600,稍,0.9,,3,5,34.7,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,ピンハイ,,牝,4,高倉稜, 55 ,12,"  ",,4,11,芝1600,稍,1.0,,6,5,34.7,,,,,,,,,,,,,,,,,,,,,,,,,
,230408,2阪5,阪神牝馬G2,ディヴィーナ,,牝,5,池添謙一, 55 ,12,"  ",,11,12,芝1600,稍,1.4,,10,8,34.9,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,メイショウミモザ,,牝,5,鮫島克駿, 54 ,12,"  ",,9,１,芝1600,良,-0.1,,6,6,33.7,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,アンドヴァラナウト,,牝,4,福永祐一, 55 ,12,"  ",,1,２,芝1600,良,0.1,,3,2,34.2,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,デゼル,,牝,5,川田将雅, 55 ,12,"  ",,2,３,芝1600,良,0.2,,8,8,33.7,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,ムジカ,,牝,5,池添謙一, 54 ,12,"  ",,8,４,芝1600,良,0.4,,6,6,34.2,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,マジックキャッスル,,牝,5,浜中俊, 54 ,12,"  ",,4,５,芝1600,良,0.4,,10,9,33.6,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,ジェラルディーナ,,牝,4,幸英明, 54 ,12,"  ",,3,６,芝1600,良,0.4,,11,11,33.4,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,クリスティ,,牝,5,松若風馬, 54 ,12,"  ",,6,７,芝1600,良,0.5,,1,1,35.2,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,ラルナブリラーレ,,牝,5,和田竜二, 54 ,12,"  ",,5,８,芝1600,良,0.6,,3,4,34.6,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,テーオーラフィット,,牝,4,岩田望来, 54 ,12,"  ",,7,９,芝1600,良,0.7,,3,4,34.6,,,,,,,,,,,,,,,,,,,,,,,,,
,220409,2阪5,阪神牝馬G2,ローレルアイリス,,牝,5,川又賢治, 54 ,12,"  ",,11,10,芝1600,良,1.0,,9,9,34.3,,,,,,,,,,,,,,,,,,,,,,,,,
