Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,250412,2阪5,阪神牝馬G2,サフィラ,,牝,4,松山弘平, 55 ,14,"  ",,9,１,芝1600,良,-0.0,,2,2,33.3,9,1京4,斑鳩Ｓ･3勝,芝,1600,稍,3,３,,3,3,34.9,,松山弘平, 56 ,14,8,1353, 0.3,"  ","  ","  ","  ",,250209
,250412,2阪5,阪神牝馬G2,アルジーヌ,,牝,5,幸英明, 55 ,14,"  ",,3,２,芝1600,良,0.0,,5,6,33.0,17,5中5,ターコイＨG3,芝,1600,良,2,１,8,7,7,34.4,*,西村淳也,55.5,16,6,1332,-0.1,"  ","  ","  ","  ",,241214
,250412,2阪5,阪神牝馬G2,ラヴァンダ,,牝,4,岩田望来, 55 ,14,"  ",,8,３,芝1600,良,0.0,,10,11,32.7,4,1阪5,難波Ｓ･3勝,芝,1800,良,4,２,,6,7,33.9,,岩田望来, 56 ,15,1,1453, 0.1,"  ","  ","  ","  ",,250315
,250412,2阪5,阪神牝馬G2,ビヨンドザヴァレー,,牝,5,菱田裕二, 55 ,14,"  ",,6,４,芝1600,良,0.2,,5,4,33.3,5,2中3,中山牝馬ＨG3,芝,1800,良,7,４,6,7,7,34.9,,菱田裕二, 54 ,14,2,1473, 0.2,"  ","  ","  ","  ",,250308
,250412,2阪5,阪神牝馬G2,ボンドガール,,牝,4,武豊, 55 ,14,"  ",,1,５,芝1600,良,0.2,,11,11,32.9,9,1東4,東京新聞G3,芝,1600,良,2,２,,6,6,33.7,,武豊, 55 ,16,4,1327, 0.1,"  ","  ","  ","  ",,250209
,250412,2阪5,阪神牝馬G2,ソーダズリング,,牝,5,坂井瑠星, 55 ,14,"  ",,5,６,芝1600,良,0.3,,7,6,33.3,7,1京7,阪急杯G3,芝,1400,良,3,３,,10,8,34.3,*,浜中俊, 55 ,18,13,1219, 0.2,"  ","  ","  ","  ",,250222
,250412,2阪5,阪神牝馬G2,タガノエルピーダ,,牝,4,団野大成, 55 ,14,"  ",,2,７,芝1600,良,0.4,,3,3,33.6,9,1京4,斑鳩Ｓ･3勝,芝,1600,稍,1,１,,3,3,34.6,,団野大成, 56 ,14,2,1350,-0.0,"  ","  ","  ","  ",,250209
,250412,2阪5,阪神牝馬G2,ドゥアイズ,,牝,5,鮫島克駿, 55 ,14,"  ",,7,８,芝1600,良,0.4,,8,9,33.2,14,1名1,京都金杯ＨG3,芝,1600,良,3,11,12,10,11,35.8,*,武豊,55.5,16,15,1349, 1.4,"  ","  ","  ","  ",,250105
,250412,2阪5,阪神牝馬G2,ドナベティ,,牝,4,藤岡佑介, 55 ,14,"  ",,14,９,芝1600,良,0.5,,13,13,33.0,3,2名4,愛知杯G3,芝,1400,良,17,13,,18,18,34.6,*,丸山元気, 55 ,18,8,1213, 1.1,"  ","  ","  ","  ",,250323
,250412,2阪5,阪神牝馬G2,ウンブライル,,牝,5,シュタル, 55 ,14,"  ",,10,10,芝1600,良,0.6,,12,13,33.1,10,1東1,白富士Ｓ(L),芝,2000,良,8,７,2,5,3,34.5,*,横山武史, 58 ,13,7,1597, 0.6,"  ","  ","  ","  ",,250201
,250412,2阪5,阪神牝馬G2,キミノナハマリア,,牝,5,Ｍ．デム, 55 ,14,"  ",,12,11,芝1600,良,0.6,,8,9,33.4,5,2中3,中山牝馬ＨG3,芝,1800,良,12,10,10,11,12,35.1,*,菅原明良, 54 ,14,13,1478, 0.7,"  ","  ","  ","  ",,250308
,250412,2阪5,阪神牝馬G2,スウィープフィート,,牝,4,横山典弘, 55 ,14,"  ",,4,12,芝1600,良,0.6,,14,6,33.6,3,2名4,愛知杯G3,芝,1400,良,5,６,,17,17,34.4,*,永島まな, 56 ,18,17,1208, 0.6,"  ","  ","  ","  ",,250323
,250412,2阪5,阪神牝馬G2,ヒルノローザンヌ,,牝,6,池添謙一, 55 ,14,"  ",,13,13,芝1600,良,0.9,,3,4,34.0,8,1京5,洛陽ＳＨ(L),芝,1600,良,15,15,,13,14,35.1,*,酒井学, 52 ,16,9,1355, 1.7,"  ","  ","  ","  ",,250215
