Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,250412,3中5,ニュージG2,イミグラントソング,,牡,3,石川裕紀, 57 ,14,"  ",,2,１,芝1600,良,-0.0,10,9,9,33.1,7,1東8,１勝ｸﾗｽ*,芝,1600,良,1,３,,4,6,33.5,,石川裕紀, 57 ,13,13,1352, 0.2,"  ","  ","  ","  ",,250223
,250412,3中5,ニュージG2,アドマイヤズーム,,牡,3,川田将雅, 57 ,14,"  ",,1,２,芝1600,良,0.0,4,4,3,33.9,17,7京6,フューチG1,芝,1600,良,5,１,,2,2,33.6,,川田将雅, 56 ,16,2,1341,-0.4,"  ","  ","  ","  ",,241215
,250412,3中5,ニュージG2,コートアリシアン,,牝,3,菅原明良, 55 ,14,"  ",,5,３,芝1600,良,0.2,6,6,7,33.8,8,1東5,クイーンG3,芝,1600,良,4,４,,7,9,34.8,*,坂井瑠星, 55 ,14,12,1331, 0.9,"  ","  ","  ","  ",,250215
,250412,3中5,ニュージG2,プリティディーヴァ,,牝,3,モレイラ, 55 ,14,"  ",,3,４,芝1600,良,0.2,8,8,7,33.6,10,1東1,クロッカ(L),芝,1400,良,1,３,,5,5,33.2,*,戸崎圭太, 55 ,7,1,1233, 0.4,"  ","  ","  ","  ",,250201
,250412,3中5,ニュージG2,ミーントゥビー,,牝,3,松岡正海, 55 ,14,"  ",,12,５,芝1600,良,0.5,8,9,9,33.7,4,2中5,アネモネ(L),芝,1600,良,8,７,11,11,10,34.7,,松岡正海, 55 ,12,11,1360, 0.3,"  ","  ","  ","  ",,250315
,250412,3中5,ニュージG2,ストレイトトーカー,,牡,3,大野拓弥, 57 ,14,"  ",,8,６,芝1600,良,0.7,3,2,3,34.8,6,2中2,１勝ｸﾗｽ*,芝,1600,良,2,１,1,1,1,34.3,,大野拓弥, 57 ,9,1,1346,-0.2,"  ","  ","  ","  ",,250302
,250412,3中5,ニュージG2,ルージュラナキラ,,牝,3,岩田康誠, 55 ,14,"  ",,4,７,芝1600,良,0.7,2,2,2,34.9,5,1阪3,フィリーG2,芝,1400,良,1,10,,7,8,36.3,,岩田康誠, 55 ,18,6,1218, 1.1,"  ","  ","  ","  ",,250308
,250412,3中5,ニュージG2,ジェットマグナム,,牡,3,三浦皇成, 57 ,14,"  ",,9,８,芝1600,良,0.9,6,6,5,34.6,4,2中6,スプリンG2,芝,1800,重,6,８,7,7,7,38.0,*,津村明秀, 57 ,12,6,1521, 0.6,"  ","  ","  ","  ",,250316
,250412,3中5,ニュージG2,ルナルーチェット,,牝,3,横山武史, 55 ,14,"  ",,7,９,芝1600,良,1.0,4,4,5,34.8,5,2中4,未勝利,芝,1600,稍,2,１,1,1,1,35.6,*,菅原明良, 55 ,16,1,1350,-1.2,"  ","  ","  ","  ",,250309
,250412,3中5,ニュージG2,シュバルツマサムネ,,牡,3,田辺裕信, 57 ,14,"  ",,14,10,芝1600,良,1.1,11,11,11,33.9,3,1阪7,若葉Ｓ(L),芝,2000,良,9,５,3,3,4,35.2,*,幸英明, 57 ,9,1,1599, 0.9,"  ","  ","  ","  ",,250322
,250412,3中5,ニュージG2,チョングク,,牡,3,丸田恭介, 57 ,14,"  ",,13,11,芝1600,良,1.3,14,14,14,33.4,1,3中4,１勝ｸﾗｽ*,芝,1600,良,3,３,9,8,4,34.2,,丸田恭介, 57 ,9,2,1346, 0.4,"  ","  ","  ","  ",,250406
,250412,3中5,ニュージG2,ムイ,,牝,3,今村聖奈, 55 ,14,"  ",,6,12,芝1600,良,1.4,12,12,13,34.1,2,2阪1,１勝ｸﾗｽ*,芝,1400,良,7,１,,10,9,34.4,,今村聖奈,52▲,12,7,1204,-0.3,"  ","  ","  ","  ",,250329
,250412,3中5,ニュージG2,アタラシイカドデニ,,牡,3,吉田豊, 57 ,14,"  ",,11,13,芝1600,良,1.4,13,12,11,34.0,3,2中7,１勝ｸﾗｽ*,芝,1600,良,5,１,2,4,3,35.7,*,内田博幸, 57 ,10,4,1351,-0.0,"  ","  ","  ","  ",,250322
,250412,3中5,ニュージG2,ベイビーキッス,,牝,3,原優介, 55 ,14,"  ",,10,14,芝1600,良,1.9,1,1,1,36.6,6,1小C,あざみ賞･1勝,芝,1200,重,3,１,,2,2,36.3,*,菊沢一樹, 55 ,18,14,1105,-0.0,"  ","  ","  ","  ",,250302
,240406,3中5,ニュージG2,エコロブルーム,,牡,3,横山武史, 57 ,16,"  ",,3,１,芝1600,稍,-0.1,3,4,4,35.0,13,1京3,シンザンG3,芝,1600,良,1,２,,4,4,36.1,*,ルメール, 57 ,18,13,1347, 0.2,"  ","  ","  ","  ",,240108
,240406,3中5,ニュージG2,ボンドガール,,牝,3,武豊, 55 ,16,"  ",,1,２,芝1600,稍,0.1,5,4,4,35.1,26,4東1,サウジアG3,芝,1600,良,1,２,,7,6,34.1,*,川田将雅, 55 ,9,3,1337, 0.3,"  ","  ","  ","  ",,231007
,240406,3中5,ニュージG2,ユキノロイヤル,,牡,3,石橋脩, 57 ,16,"  ",,9,３,芝1600,稍,0.1,1,1,1,35.6,3,2中7,１勝ｸﾗｽ*,芝,1600,良,6,１,1,2,2,35.0,,石橋脩, 57 ,9,1,1348,-0.1,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,カズミクラーシュ,,牡,3,菅原明良, 57 ,16,"  ",,5,４,芝1600,稍,0.2,9,7,7,35.1,3,1阪8,未勝利,芝,1800,良,1,１,,4,3,34.4,*,川田将雅, 57 ,13,8,1463,-0.5,"  ","  ","  ","  ",,240317
,240406,3中5,ニュージG2,ドリーミングアップ,,牡,3,吉田豊, 57 ,16,"  ",,12,５,芝1600,稍,0.3,14,14,12,34.6,3,1名4,フローラ･1勝,芝,1600,良,5,４,10,10,10,33.6,*,藤岡佑介, 57 ,10,7,1349, 0.2,"  ","  ","  ","  ",,240317
,240406,3中5,ニュージG2,クリーンエア,,牡,3,松岡正海, 57 ,16,"  ",,16,６,芝1600,稍,0.4,2,3,3,35.6,5,2中3,１勝ｸﾗｽ*,芝,1600,稍,3,３,2,2,3,35.7,*,大野拓弥, 57 ,12,4,1355, 0.4,"  ","  ","  ","  ",,240302
,240406,3中5,ニュージG2,エイムフォーエース,,牡,3,森泰斗, 57 ,16,"  ",,15,７,芝1600,稍,0.5,9,11,9,35.0,3,1名3,ファルコG3,芝,1400,良,9,14,,15,14,34.9,*,本田正重, 57 ,17,13,1215, 1.3,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,オーサムストローク,,牡,3,田辺裕信, 57 ,16,"  ",,10,８,芝1600,稍,0.5,3,4,4,35.6,16,5阪6,フューチG1,芝,1600,良,7,14,,7,10,35.6,*,坂井瑠星, 56 ,17,7,1348, 1.0,"  ","  ","  ","  ",,231217
,240406,3中5,ニュージG2,エンヤラヴフェイス,,牡,3,北村宏司, 57 ,16,"  ",,8,９,芝1600,稍,0.6,12,11,9,35.2,3,1名3,ファルコG3,芝,1400,良,13,８,,12,12,34.5,*,菊沢一樹, 57 ,17,12,1209, 0.7,"  ","  ","  ","  ",,240316
,240406,3中5,ニュージG2,スパークリシャール,,牡,3,浜中俊, 57 ,16,"  ",,6,10,芝1600,稍,0.7,11,9,9,35.5,5,2中3,１勝ｸﾗｽ*,芝,1600,稍,2,１,2,2,2,35.4,*,Ｍ．デム, 57 ,12,5,1351,-0.1,"  ","  ","  ","  ",,240302
,240406,3中5,ニュージG2,ルージュスエルテ,,牝,3,横山和生, 55 ,16,"  ",,4,11,芝1600,稍,0.8,7,10,12,35.5,8,1東5,クイーンG3,芝,1600,良,4,３,,13,12,33.5,,横山和生, 55 ,13,8,1334, 0.3,"  ","  ","  ","  ",,240210
