データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
1,250412,土,3中5,11,ニュージG2,馬齢,国,イミグラントソング,,牡,3,石川裕紀, 57 ,,14,"  ",,2,１,芝1600,良,-0.0,10,9,9,33.1,1.6,482,-4,,(美),辻哲英,マクフィ,ディープインパクト
2,250412,土,3中5,11,ニュージG2,馬齢,国,アドマイヤズーム,,牡,3,川田将雅, 57 ,,14,"  ",,1,２,芝1600,良,0.0,4,4,3,33.9,0.8,476,+8,,(栗),友道康夫,モーリス,ハーツクライ
3,250412,土,3中5,11,ニュージG2,馬齢,国,コートアリシアン,,牝,3,菅原明良, 55 ,,14,"  ",,5,３,芝1600,良,0.2,6,6,7,33.8,1.1,434,-6,,(美),伊藤大士,サートゥルナーリア,ハーツクライ
4,250412,土,3中5,11,ニュージG2,馬齢,国,プリティディーヴァ,,牝,3,モレイラ, 55 ,,14,"  ",,3,４,芝1600,良,0.2,8,8,7,33.6,1.3,464,-10,,(美),田中博康,Kingman,Teofilo
5,250412,土,3中5,11,ニュージG2,馬齢,国,ミーントゥビー,,牝,3,松岡正海, 55 ,,14,"  ",,12,５,芝1600,良,0.5,8,9,9,33.7,1.5,432,-6,,(美),堀内岳志,リアルインパクト,フジキセキ
6,250412,土,3中5,11,ニュージG2,馬齢,国,ストレイトトーカー,,牡,3,大野拓弥, 57 ,,14,"  ",,8,６,芝1600,良,0.7,3,2,3,34.8,0.6,472,-6,,(美),岩戸孝樹,ファインニードル,Diktat
7,250412,土,3中5,11,ニュージG2,馬齢,国,ルージュラナキラ,,牝,3,岩田康誠, 55 ,,14,"  ",,4,７,芝1600,良,0.7,2,2,2,34.9,0.5,468,0,,(美),加藤征弘,アドマイヤマーズ,カジノドライヴ
8,250412,土,3中5,11,ニュージG2,馬齢,国,ジェットマグナム,,牡,3,三浦皇成, 57 ,,14,"  ",,9,８,芝1600,良,0.9,6,6,5,34.6,1.0,486,+2,,(栗),安達昭夫,ヘンリーバローズ,ルーラーシップ
9,250412,土,3中5,11,ニュージG2,馬齢,国,ルナルーチェット,,牝,3,横山武史, 55 ,B,14,"  ",,7,９,芝1600,良,1.0,4,4,5,34.8,0.9,416,-8,,(美),国枝栄,ブリックスアンドモルタル,"Quality Road"
10,250412,土,3中5,11,ニュージG2,馬齢,国,シュバルツマサムネ,,牡,3,田辺裕信, 57 ,,14,"  ",,14,10,芝1600,良,1.1,11,11,11,33.9,1.9,456,-6,,(栗),杉山佳明,マインドユアビスケッツ,モーリス
11,250412,土,3中5,11,ニュージG2,馬齢,国,チョングク,,牡,3,丸田恭介, 57 ,,14,"  ",,13,11,芝1600,良,1.3,14,14,14,33.4,2.6,476,+2,,(美),南田美知,ディープブリランテ,アドマイヤコジーン
12,250412,土,3中5,11,ニュージG2,馬齢,国,ムイ,,牝,3,今村聖奈, 55 ,,14,"  ",,6,12,芝1600,良,1.4,12,12,13,34.1,2.0,458,-2,,(栗),笹田和秀,ミッキーアイル,ルーラーシップ
13,250412,土,3中5,11,ニュージG2,馬齢,国,アタラシイカドデニ,,牡,3,吉田豊, 57 ,,14,"  ",,11,13,芝1600,良,1.4,13,12,11,34.0,2.1,504,-4,,(美),上原博之,イスラボニータ,サクラプレジデント
14,250412,土,3中5,11,ニュージG2,馬齢,国,ベイビーキッス,,牝,3,原優介, 55 ,,14,"  ",,10,14,芝1600,良,1.9,1,1,1,36.6,0.0,452,-4,,(美),青木孝文,サンダースノー,フサイチコンコルド
15,240406,土,3中5,11,ニュージG2,馬齢,国,エコロブルーム,,牡,3,横山武史, 57 ,,16,"  ",,3,１,芝1600,稍,-0.1,3,4,4,35.0,0.5,472,+8,,(美),加藤征弘,ダイワメジャー,"Candy Ride"
16,240406,土,3中5,11,ニュージG2,馬齢,国,ボンドガール,,牝,3,武豊, 55 ,,16,"  ",,1,２,芝1600,稍,0.1,5,4,4,35.1,0.5,450,-4,,(美),手塚貴久,ダイワメジャー,Tizway
17,240406,土,3中5,11,ニュージG2,馬齢,国,ユキノロイヤル,,牡,3,石橋脩, 57 ,,16,"  ",,9,３,芝1600,稍,0.1,1,1,1,35.6,0.0,444,0,,(美),小野次郎,ディーマジェスティ,タイキシャトル
18,240406,土,3中5,11,ニュージG2,馬齢,国,カズミクラーシュ,,牡,3,菅原明良, 57 ,,16,"  ",,5,４,芝1600,稍,0.2,9,7,7,35.1,0.6,482,-10,,(栗),吉岡辰弥,モーリス,キングカメハメハ
19,240406,土,3中5,11,ニュージG2,馬齢,国,ドリーミングアップ,,牡,3,吉田豊, 57 ,,16,"  ",,12,５,芝1600,稍,0.3,14,14,12,34.6,1.2,460,+2,,(美),高橋文雅,エピファネイア,ディープインパクト
20,240406,土,3中5,11,ニュージG2,馬齢,国,クリーンエア,,牡,3,松岡正海, 57 ,,16,"  ",,16,６,芝1600,稍,0.4,2,3,3,35.6,0.3,468,-4,,(美),上原博之,リアルインパクト,"Street Cry"
21,240406,土,3中5,11,ニュージG2,馬齢,国,エイムフォーエース,,牡,3,森泰斗, 57 ,,16,"  ",,15,７,芝1600,稍,0.5,9,11,9,35.0,1.0,428,-2,,[地],山下貴之,サトノアラジン,ジャングルポケット
22,240406,土,3中5,11,ニュージG2,馬齢,国,オーサムストローク,,牡,3,田辺裕信, 57 ,,16,"  ",,10,８,芝1600,稍,0.5,3,4,4,35.6,0.4,442,+2,,(美),伊藤圭三,エピファネイア,Frankel
