Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,斤量,頭数,人気,着順,芝・ダ,距離,コース区分,馬場状態,走破タイム,着差,上3F地点差,2角,3角,4角,Ave-3F,上り3F,PCI,好走,PCI3,RPCI,平均速度,-3F平均速度,上り3F平均速度,騎手,多頭出し,所属,調教師
,250412,3中5,11,ニュージG2,イミグラントソング,,牡,3, 57 ,14,2,１,芝,1600,B,良,1324,-0.0,1.6,10,9,9,35.58,33.1,57.5,*,55.13,49.8,62.34,60.71,65.26,石川裕紀,,(美),辻哲英
,250412,3中5,11,ニュージG2,アドマイヤズーム,,牡,3, 57 ,14,1,２,芝,1600,B,良,1324,0.0,0.8,4,4,3,35.10,33.9,53.5,*,55.13,49.8,62.34,61.54,63.72,川田将雅,,(栗),友道康夫
,250412,3中5,11,ニュージG2,コートアリシアン,,牝,3, 55 ,14,5,３,芝,1600,B,良,1326,0.2,1.1,6,6,7,35.28,33.8,54.4,*,55.13,49.8,62.20,61.22,63.91,菅原明良,,(美),伊藤大士
,250412,3中5,11,ニュージG2,プリティディーヴァ,,牝,3, 55 ,14,3,４,芝,1600,B,良,1326,0.2,1.3,8,8,7,35.40,33.6,55.4,*,55.13,49.8,62.20,61.02,64.29,モレイラ,,(美),田中博康
,250412,3中5,11,ニュージG2,ミーントゥビー,,牝,3, 55 ,14,12,５,芝,1600,B,良,1329,0.5,1.5,8,9,9,35.52,33.7,55.4,*,55.13,49.8,62.00,60.81,64.09,松岡正海,,(美),堀内岳志
,250412,3中5,11,ニュージG2,ストレイトトーカー,,牡,3, 57 ,14,8,６,芝,1600,B,良,1331,0.7,0.6,3,2,3,34.98,34.8,50.5,*,55.13,49.8,61.87,61.75,62.07,大野拓弥,,(美),岩戸孝樹
,250412,3中5,11,ニュージG2,ルージュラナキラ,,牝,3, 55 ,14,4,７,芝,1600,B,良,1331,0.7,0.5,2,2,2,34.92,34.9,50.1,*,55.13,49.8,61.87,61.86,61.89,岩田康誠,,(美),加藤征弘
,250412,3中5,11,ニュージG2,ジェットマグナム,,牡,3, 57 ,14,9,８,芝,1600,B,良,1333,0.9,1.0,6,6,5,35.22,34.6,51.8,*,55.13,49.8,61.74,61.33,62.43,三浦皇成,,(栗),安達昭夫
,250412,3中5,11,ニュージG2,ルナルーチェット,,牝,3, 55 ,14,7,９,芝,1600,B,良,1334,1.0,0.9,4,4,5,35.16,34.8,51.0,*,55.13,49.8,61.67,61.43,62.07,横山武史,,(美),国枝栄
,250412,3中5,11,ニュージG2,シュバルツマサムネ,,牡,3, 57 ,14,14,10,芝,1600,B,良,1335,1.1,1.9,11,11,11,35.76,33.9,55.5,,55.13,49.8,61.60,60.40,63.72,田辺裕信,,(栗),杉山佳明
,250412,3中5,11,ニュージG2,チョングク,,牡,3, 57 ,14,13,11,芝,1600,B,良,1337,1.3,2.6,14,14,14,36.18,33.4,58.3,*,55.13,49.8,61.47,59.70,64.67,丸田恭介,,(美),南田美知
,250412,3中5,11,ニュージG2,ムイ,,牝,3, 55 ,14,6,12,芝,1600,B,良,1338,1.4,2.0,12,12,13,35.82,34.1,55.0,,55.13,49.8,61.41,60.30,63.34,今村聖奈,,(栗),笹田和秀
,250412,3中5,11,ニュージG2,アタラシイカドデニ,,牡,3, 57 ,14,11,13,芝,1600,B,良,1338,1.4,2.1,13,12,11,35.88,34.0,55.5,,55.13,49.8,61.41,60.20,63.53,吉田豊,,(美),上原博之
,250412,3中5,11,ニュージG2,ベイビーキッス,,牝,3, 55 ,14,10,14,芝,1600,B,良,1343,1.9,0.0,1,1,1,34.62,36.6,44.6,,55.13,49.8,61.08,62.39,59.02,原優介,,(美),青木孝文
,240406,3中5,11,ニュージG2,エコロブルーム,,牡,3, 57 ,16,3,１,芝,1600,B,稍,1344,-0.1,0.5,3,4,4,35.64,35.0,51.8,*,50.87,49.5,61.02,60.61,61.71,横山武史,,(美),加藤征弘
,240406,3中5,11,ニュージG2,ボンドガール,,牝,3, 55 ,16,1,２,芝,1600,B,稍,1345,0.1,0.5,5,4,4,35.64,35.1,51.5,*,50.87,49.5,60.95,60.61,61.54,武豊,,(美),手塚貴久
,240406,3中5,11,ニュージG2,ユキノロイヤル,,牡,3, 57 ,16,9,３,芝,1600,B,稍,1345,0.1,0.0,1,1,1,35.34,35.6,49.3,*,50.87,49.5,60.95,61.12,60.67,石橋脩,,(美),小野次郎
,240406,3中5,11,ニュージG2,カズミクラーシュ,,牡,3, 57 ,16,5,４,芝,1600,B,稍,1346,0.2,0.6,9,7,7,35.70,35.1,51.7,*,50.87,49.5,60.89,60.50,61.54,菅原明良,,(栗),吉岡辰弥
,240406,3中5,11,ニュージG2,ドリーミングアップ,,牡,3, 57 ,16,12,５,芝,1600,B,稍,1347,0.3,1.2,14,14,12,36.06,34.6,54.2,*,50.87,49.5,60.82,59.90,62.43,吉田豊,,(美),高橋文雅
,240406,3中5,11,ニュージG2,クリーンエア,,牡,3, 57 ,16,16,６,芝,1600,B,稍,1348,0.4,0.3,2,3,3,35.52,35.6,49.8,*,50.87,49.5,60.76,60.81,60.67,松岡正海,,(美),上原博之
,240406,3中5,11,ニュージG2,エイムフォーエース,,牡,3, 57 ,16,15,７,芝,1600,B,稍,1349,0.5,1.0,9,11,9,35.94,35.0,52.7,*,50.87,49.5,60.70,60.10,61.71,森泰斗,,[地],山下貴之
,240406,3中5,11,ニュージG2,オーサムストローク,,牡,3, 57 ,16,10,８,芝,1600,B,稍,1349,0.5,0.4,3,4,4,35.58,35.6,49.9,*,50.87,49.5,60.70,60.71,60.67,田辺裕信,,(美),伊藤圭三
,240406,3中5,11,ニュージG2,エンヤラヴフェイス,,牡,3, 57 ,16,8,９,芝,1600,B,稍,1350,0.6,0.9,12,11,9,35.88,35.2,51.9,*,50.87,49.5,60.63,60.20,61.36,北村宏司,,(栗),森田直行
,240406,3中5,11,ニュージG2,スパークリシャール,,牡,3, 57 ,16,6,10,芝,1600,B,稍,1351,0.7,0.7,11,9,9,35.76,35.5,50.7,*,50.87,49.5,60.57,60.40,60.85,浜中俊,,(美),小島茂之
,240406,3中5,11,ニュージG2,ルージュスエルテ,,牝,3, 55 ,16,4,11,芝,1600,B,稍,1352,0.8,0.8,7,10,12,35.82,35.5,50.9,*,50.87,49.5,60.50,60.30,60.85,横山和生,,(美),国枝栄
,240406,3中5,11,ニュージG2,シャインズオンユー,,牡,3, 57 ,16,13,12,芝,1600,B,稍,1353,0.9,0.6,7,7,7,35.70,35.8,49.7,*,50.87,49.5,60.44,60.50,60.34,石川裕紀,,(美),青木孝文
,240406,3中5,11,ニュージG2,サトミノキラリ,,牡,3, 57 ,16,11,13,芝,1600,B,稍,1353,0.9,1.5,14,16,16,36.24,34.9,53.8,*,50.87,49.5,60.44,59.60,61.89,内田博幸,,(美),鈴木伸尋
,240406,3中5,11,ニュージG2,デビッドテソーロ,,牡,3, 57 ,16,14,14,芝,1600,B,稍,1356,1.2,1.0,12,11,15,35.94,35.7,50.7,,50.87,49.5,60.25,60.10,60.50,原優介,,(美),小手川準
,240406,3中5,11,ニュージG2,ブライトマン,,牡,3, 57 ,16,7,15,芝,1600,B,稍,1357,1.3,1.3,14,14,12,36.12,35.5,51.7,,50.87,49.5,60.19,59.80,60.85,三浦皇成,,(美),蛯名正義
,240406,3中5,11,ニュージG2,キャプテンシー,,牡,3, 57 ,16,2,16,芝,1600,B,稍,1357,1.3,0.1,5,2,2,35.40,36.7,46.5,,50.87,49.5,60.19,61.02,58.86,Ｍ．デム,,(栗),松永幹夫
,230408,3中5,11,ニュージG2,エエヤン,,牡,3, 56 ,16,2,１,芝,1600,B,稍,1337,-0.2,0.0,4,2,3,34.62,36.0,46.2,*,47.93,46.2,61.47,62.39,60.00,Ｍ．デム,,(美),伊藤大士
,230408,3中5,11,ニュージG2,ウンブライル,,牝,3, 54 ,16,5,２,芝,1600,B,稍,1339,0.2,0.9,9,10,8,35.16,35.3,49.6,*,47.93,46.2,61.34,61.43,61.19,ルメール,,(美),木村哲也
,230408,3中5,11,ニュージG2,シャンパンカラー,,牡,3, 56 ,16,7,３,芝,1600,B,稍,1340,0.3,0.6,6,6,4,34.98,35.7,48.0,*,47.93,46.2,61.28,61.75,60.50,内田博幸,*,(美),田中剛
,230408,3中5,11,ニュージG2,モリアーナ,,牝,3, 54 ,16,3,４,芝,1600,B,稍,1340,0.3,0.7,6,9,4,35.04,35.6,48.4,*,47.93,46.2,61.28,61.64,60.67,武藤雅,,(美),武藤善則
,230408,3中5,11,ニュージG2,ミシシッピテソーロ,,牝,3, 54 ,16,14,５,芝,1600,B,稍,1342,0.5,1.1,12,13,12,35.28,35.4,49.7,*,47.93,46.2,61.15,61.22,61.02,柴田大知,,(美),畠山吉宏
,230408,3中5,11,ニュージG2,ルミノメテオール,,牝,3, 54 ,16,4,６,芝,1600,B,稍,1342,0.5,0.6,6,6,8,34.98,35.9,47.4,*,47.93,46.2,61.15,61.75,60.17,横山武史,,(美),金成貴史
,230408,3中5,11,ニュージG2,ドルチェモア,,牡,3, 56 ,16,1,７,芝,1600,B,稍,1343,0.6,0.0,1,1,1,34.62,36.6,44.6,*,47.93,46.2,61.08,62.39,59.02,横山和生,,(栗),須貝尚介
,230408,3中5,11,ニュージG2,ジョウショーホープ,,牡,3, 56 ,16,13,８,芝,1600,B,稍,1343,0.6,0.4,4,4,4,34.86,36.2,46.3,*,47.93,46.2,61.08,61.96,59.67,荻野極,,(栗),新谷功一
,230408,3中5,11,ニュージG2,エイシンエイト,,牝,3, 54 ,16,16,９,芝,1600,B,稍,1344,0.7,0.9,12,10,8,35.16,35.8,48.2,*,47.93,46.2,61.02,61.43,60.34,津村明秀,*,(美),田中剛
,230408,3中5,11,ニュージG2,シーウィザード,,牡,3, 56 ,16,10,10,芝,1600,B,稍,1345,0.8,1.4,15,16,15,35.46,35.4,50.2,*,47.93,46.2,60.95,60.91,61.02,武豊,,(美),鹿戸雄一
,230408,3中5,11,ニュージG2,メイクアスナッチ,,牝,3, 54 ,16,6,11,芝,1600,B,稍,1345,0.8,0.6,9,6,8,34.98,36.2,46.6,*,47.93,46.2,60.95,61.75,59.67,戸崎圭太,,(美),武市康男
,230408,3中5,11,ニュージG2,バグラダス,,牡,3, 56 ,16,9,12,芝,1600,B,稍,1347,1.0,0.0,2,2,2,34.62,37.0,43.6,*,47.93,46.2,60.82,62.39,58.38,三浦皇成,,(美),嘉藤貴行
,230408,3中5,11,ニュージG2,ミスヨコハマ,,牝,3, 54 ,16,15,13,芝,1600,B,稍,1348,1.1,1.1,14,13,12,35.28,36.0,48.0,,47.93,46.2,60.76,61.22,60.00,石橋脩,,(美),斎藤誠
,230408,3中5,11,ニュージG2,オマツリオトコ,,牡,3, 56 ,16,12,14,芝,1600,B,稍,1351,1.4,0.9,9,10,12,35.16,36.5,46.3,,47.93,46.2,60.57,61.43,59.18,永野猛蔵,,(美),伊藤圭三
,230408,3中5,11,ニュージG2,サンライズジーク,,牡,3, 56 ,16,8,15,芝,1600,B,稍,1360,2.3,0.4,2,4,4,34.86,37.9,42.0,,47.93,46.2,60.00,61.96,56.99,坂井瑠星,,(栗),矢作芳人
,230408,3中5,11,ニュージG2,ロードディフィート,,牡,3, 56 ,16,11,16,芝,1600,B,稍,1369,3.2,1.2,16,15,16,35.34,38.0,43.0,,47.93,46.2,59.44,61.12,56.84,田辺裕信,,(美),和田勇介
,220409,3中5,11,ニュージG2,ジャングロ,,牡,3, 56 ,11,3,１,芝,1600,B,良,1335,-0.0,0.0,1,1,1,35.28,34.7,51.7,*,52.97,51.7,61.60,61.22,62.25,武豊,,(栗),森秀行
,220409,3中5,11,ニュージG2,マテンロウオリオン,,牡,3, 56 ,11,1,２,芝,1600,B,良,1335,0.0,0.6,5,5,7,35.64,34.1,54.5,*,52.97,51.7,61.60,60.61,63.34,横山典弘,,(栗),昆貢
,220409,3中5,11,ニュージG2,リューベック,,牡,3, 56 ,11,6,３,芝,1600,B,良,1338,0.3,0.4,5,4,4,35.52,34.6,52.7,*,52.97,51.7,61.41,60.81,62.43,吉田隼人,,(栗),須貝尚介
,220409,3中5,11,ニュージG2,エンペザー,,牡,3, 56 ,11,7,４,芝,1600,B,良,1340,0.5,0.2,2,2,2,35.40,35.0,51.1,*,52.97,51.7,61.28,61.02,61.71,坂井瑠星,,(栗),田中克典
,220409,3中5,11,ニュージG2,ティーガーデン,,牡,3, 56 ,11,2,５,芝,1600,B,良,1343,0.8,0.7,9,8,5,35.70,34.8,52.6,*,52.97,51.7,61.08,60.50,62.07,ルメール,,(美),萩原清
,220409,3中5,11,ニュージG2,エイシンシュトルム,,牡,3, 56 ,11,10,６,芝,1600,B,良,1343,0.8,0.8,8,9,8,35.76,34.7,53.1,*,52.97,51.7,61.08,60.40,62.25,石川裕紀,,(美),勢司和浩
,220409,3中5,11,ニュージG2,デルマグレムリン,,牡,3, 56 ,11,4,７,芝,1600,B,良,1344,0.9,0.5,9,5,5,35.58,35.1,51.4,*,52.97,51.7,61.02,60.71,61.54,Ｍ．デム,,(栗),五十嵐忠
,220409,3中5,11,ニュージG2,サーマルウインド,,牝,3, 54 ,11,8,８,芝,1600,B,良,1345,1.0,0.3,3,2,2,35.46,35.4,50.2,*,52.97,51.7,60.95,60.91,61.02,岩田康誠,,(美),奥村武
,220409,3中5,11,ニュージG2,アバンチュリエ,,牡,3, 56 ,11,5,９,芝,1600,B,良,1350,1.5,0.8,11,9,8,35.76,35.4,51.0,,52.97,51.7,60.63,60.40,61.02,横山武史,,(美),大竹正博
,220409,3中5,11,ニュージG2,モチベーション,,牝,3, 54 ,11,11,10,芝,1600,B,良,1352,1.7,0.6,4,5,8,35.64,35.8,49.6,,52.97,51.7,60.50,60.61,60.34,秋山稔樹,,(美),清水英克
,220409,3中5,11,ニュージG2,ベルウッドブラボー,,牡,3, 56 ,11,9,11,芝,1600,B,良,1353,1.8,0.9,5,11,11,35.82,35.6,50.6,,52.97,51.7,60.44,60.30,60.67,丸山元気,,(美),和田雄二
,210410,3中5,11,ニュージG2,バスラットレオン,,牡,3, 56 ,16,2,１,芝,1600,B,良,1331,-0.9,0.0,1,1,1,35.10,34.6,51.4,*,50.57,51.4,61.87,61.54,62.43,藤岡佑介,*,(栗),矢作芳人
,210410,3中5,11,ニュージG2,タイムトゥヘヴン,,牡,3, 56 ,16,3,２,芝,1600,B,良,1340,0.9,0.5,6,7,5,35.40,35.0,51.1,*,50.57,51.4,61.28,61.02,61.71,Ｍ．デム,,(美),戸田博文
,210410,3中5,11,ニュージG2,シティレインボー,,牡,3, 56 ,16,11,３,芝,1600,B,良,1342,1.1,0.2,3,2,2,35.22,35.5,49.2,*,50.57,51.4,61.15,61.33,60.85,横山典弘,,(栗),池添兼雄
,210410,3中5,11,ニュージG2,ヴィジュネル,,牡,3, 56 ,16,8,４,芝,1600,B,良,1345,1.4,0.5,6,7,6,35.40,35.5,49.7,*,50.57,51.4,60.95,61.02,60.85,内田博幸,,(栗),渡辺薫彦
,210410,3中5,11,ニュージG2,シュバルツカイザー,,牡,3, 56 ,16,10,５,芝,1600,B,良,1345,1.4,0.6,10,10,6,35.46,35.4,50.2,*,50.57,51.4,60.95,60.91,61.02,石川裕紀,,(美),大竹正博
,210410,3中5,11,ニュージG2,ゴールドチャリス,,牝,3, 54 ,16,15,６,芝,1600,B,良,1345,1.4,0.9,10,14,13,35.64,35.1,51.5,*,50.57,51.4,60.95,60.61,61.54,田中勝春,,(栗),武幸四郎
,210410,3中5,11,ニュージG2,ワザモノ,,牡,3, 56 ,16,9,７,芝,1600,B,良,1347,1.6,0.6,15,10,10,35.46,35.6,49.6,,50.57,51.4,60.82,60.91,60.67,黛弘人,,(美),尾関知人
,210410,3中5,11,ニュージG2,ロンギングバース,,牡,3, 56 ,16,14,８,芝,1600,B,良,1348,1.7,1.2,13,15,15,35.82,35.1,52.1,*,50.57,51.4,60.76,60.30,61.54,横山和生,,(美),竹内正洋
,210410,3中5,11,ニュージG2,スパークル,,牝,3, 54 ,16,6,９,芝,1600,B,良,1348,1.7,0.5,6,7,10,35.40,35.8,48.9,,50.57,51.4,60.76,61.02,60.34,岩田望来,,(栗),中内田充
,210410,3中5,11,ニュージG2,ブルーシンフォニー,,牡,3, 56 ,16,12,10,芝,1600,B,良,1349,1.8,0.6,3,10,10,35.46,35.8,49.1,,50.57,51.4,60.70,60.91,60.34,丸山元気,,(美),伊藤圭三
,210410,3中5,11,ニュージG2,ドゥラモンド,,牡,3, 56 ,16,5,11,芝,1600,B,良,1350,1.9,0.4,10,5,6,35.34,36.1,47.9,,50.57,51.4,60.63,61.12,59.83,横山武史,,(美),手塚貴久
,210410,3中5,11,ニュージG2,トーセンウォーリア,,牡,3, 56 ,16,16,12,芝,1600,B,良,1352,2.1,1.5,16,16,16,36.00,35.2,52.3,*,50.57,51.4,60.50,60.00,61.36,武藤雅,,(美),池上昌和
,210410,3中5,11,ニュージG2,ワーズワース,,牡,3, 56 ,16,7,13,芝,1600,B,良,1356,2.5,0.3,6,5,6,35.28,36.8,45.9,,50.57,51.4,60.25,61.22,58.70,北村宏司,,(栗),清水久詞
,210410,3中5,11,ニュージG2,ゲンパチミーティア,,牡,3, 56 ,16,13,14,芝,1600,B,良,1357,2.6,0.2,2,2,2,35.22,37.0,45.2,,50.57,51.4,60.19,61.33,58.38,木幡巧也,*,(栗),矢作芳人
