Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,キャリア,騎手,人気,着順,頭数,種牡馬,母父馬,馬主(最新/仮想),生産者,毛色,馬記号,生年月日,市場取引価格(万/最終),取引市場(最終),産地
,250412,3中5,11,ニュージG2,イミグラントソング,,牡,3,4,石川裕紀,2,１,14,マクフィ,ディープインパクト,吉田勝己,ノーザンファーム,鹿毛,,2022. 4.24,,,安平町
,250412,3中5,11,ニュージG2,アドマイヤズーム,,牡,3,3,川田将雅,1,２,14,モーリス,ハーツクライ,近藤旬子,社台ファーム,鹿毛,,2022. 2.28,12650万,セレクトセール,千歳市
,250412,3中5,11,ニュージG2,コートアリシアン,,牝,3,4,菅原明良,5,３,14,サートゥルナーリア,ハーツクライ,吉田照哉,社台ファーム,栗毛,,2022. 2.24,,,千歳市
,250412,3中5,11,ニュージG2,プリティディーヴァ,,牝,3,3,モレイラ,3,４,14,Kingman,Teofilo,吉田和美,"Assurance Syndicate",黒鹿,(外),2022. 1.28,,,愛
,250412,3中5,11,ニュージG2,ミーントゥビー,,牝,3,6,松岡正海,12,５,14,リアルインパクト,フジキセキ,塚本幹雄,社台ファーム,鹿毛,,2022. 4.10,1320万,千葉サラブレッドセール,千歳市
,250412,3中5,11,ニュージG2,ストレイトトーカー,,牡,3,3,大野拓弥,8,６,14,ファインニードル,Diktat,ゴドルフィン,ダーレー・ジャパン・ファーム,青鹿,,2022. 3. 6,,,日高町
,250412,3中5,11,ニュージG2,ルージュラナキラ,,牝,3,3,岩田康誠,4,７,14,アドマイヤマーズ,カジノドライヴ,東京ホースレーシング,坂東牧場,鹿毛,,2022. 2. 8,,,平取町
,250412,3中5,11,ニュージG2,ジェットマグナム,,牡,3,6,三浦皇成,9,８,14,ヘンリーバローズ,ルーラーシップ,"Him Rock Racingホールディングス",カケハムポニークラブ,黒鹿,,2022. 3. 5,,,浦河町
,250412,3中5,11,ニュージG2,ルナルーチェット,,牝,3,3,横山武史,7,９,14,ブリックスアンドモルタル,"Quality Road",社台レースホース,社台ファーム,黒鹿,,2022. 4.15,,,千歳市
,250412,3中5,11,ニュージG2,シュバルツマサムネ,,牡,3,6,田辺裕信,14,10,14,マインドユアビスケッツ,モーリス,塩澤正樹,ノーザンファーム,鹿毛,,2022. 3.12,2640万,セレクトセール,安平町
,250412,3中5,11,ニュージG2,チョングク,,牡,3,12,丸田恭介,13,11,14,ディープブリランテ,アドマイヤコジーン,ミルファーム,松田牧場,鹿毛,,2022. 4.17,,,新ひだか町
,250412,3中5,11,ニュージG2,ムイ,,牝,3,2,今村聖奈,6,12,14,ミッキーアイル,ルーラーシップ,平山靖,坂東牧場,鹿毛,,2022. 3.23,,,平取町
,250412,3中5,11,ニュージG2,アタラシイカドデニ,,牡,3,11,吉田豊,11,13,14,イスラボニータ,サクラプレジデント,石田勇,谷岡牧場,鹿毛,(地),2022. 3.11,,,新ひだか町
,250412,3中5,11,ニュージG2,ベイビーキッス,,牝,3,8,原優介,10,14,14,サンダースノー,フサイチコンコルド,江川伸夫,清水スタッド,栗毛,,2022. 4.10,,,様似町
,240406,3中5,11,ニュージG2,エコロブルーム,,牡,3,3,横山武史,3,１,16,ダイワメジャー,"Candy Ride",原村正紀,ノーザンファーム,栗毛,,2021. 4. 8,9240万,セレクトセール,安平町
