Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,250412,ニュージG2,イミグラントソング,,牡,3,2,１,7,14,3中5,芝1600,良,10,9,9,1東8,芝,1600,良,,4,6,1,３, 0.2,1勝,石川裕紀,石川裕紀,482,-4,-4, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),辻哲英,250223,１勝ｸﾗｽ*
,250412,ニュージG2,アドマイヤズーム,,牡,3,1,２,17,14,3中5,芝1600,良,4,4,3,7京6,芝,1600,良,,2,2,5,１,-0.4,Ｇ１,川田将雅,川田将雅,476,+8,+2, 57 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),友道康夫,241215,フューチG1
,250412,ニュージG2,コートアリシアン,,牝,3,5,３,8,14,3中5,芝1600,良,6,6,7,1東5,芝,1600,良,,7,9,4,４, 0.9,Ｇ３,菅原明良,坂井瑠星,434,-6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),伊藤大士,250215,クイーンG3
,250412,ニュージG2,プリティディーヴァ,,牝,3,3,４,10,14,3中5,芝1600,良,8,8,7,1東1,芝,1400,良,,5,5,1,３, 0.4,OP(L),モレイラ,戸崎圭太,464,-10,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),田中博康,250201,クロッカ(L)
,250412,ニュージG2,ミーントゥビー,,牝,3,12,５,4,14,3中5,芝1600,良,8,9,9,2中5,芝,1600,良,11,11,10,8,７, 0.3,OP(L),松岡正海,松岡正海,432,-6,-6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),堀内岳志,250315,アネモネ(L)
,250412,ニュージG2,ストレイトトーカー,,牡,3,8,６,6,14,3中5,芝1600,良,3,2,3,2中2,芝,1600,良,1,1,1,2,１,-0.2,1勝,大野拓弥,大野拓弥,472,-6,0, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),岩戸孝樹,250302,１勝ｸﾗｽ*
,250412,ニュージG2,ルージュラナキラ,,牝,3,4,７,5,14,3中5,芝1600,良,2,2,2,1阪3,芝,1400,良,,7,8,1,10, 1.1,Ｇ２,岩田康誠,岩田康誠,468,0,+2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),加藤征弘,250308,フィリーG2
,250412,ニュージG2,ジェットマグナム,,牡,3,9,８,4,14,3中5,芝1600,良,6,6,5,2中6,芝,1800,重,7,7,7,6,８, 0.6,Ｇ２,三浦皇成,津村明秀,486,+2,-4, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),安達昭夫,250316,スプリンG2
,250412,ニュージG2,ルナルーチェット,,牝,3,7,９,5,14,3中5,芝1600,良,4,4,5,2中4,芝,1600,稍,1,1,1,2,１,-1.2,未勝利,横山武史,菅原明良,416,-8,-2, 55 , 55 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),国枝栄,250309,未勝利
,250412,ニュージG2,シュバルツマサムネ,,牡,3,14,10,3,14,3中5,芝1600,良,11,11,11,1阪7,芝,2000,良,3,3,4,9,５, 0.9,OP(L),田辺裕信,幸英明,456,-6,+2, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),杉山佳明,250322,若葉Ｓ(L)
,250412,ニュージG2,チョングク,,牡,3,13,11,1,14,3中5,芝1600,良,14,14,14,3中4,芝,1600,良,9,8,4,3,３, 0.4,1勝,丸田恭介,丸田恭介,476,+2,+6, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),南田美知,250406,１勝ｸﾗｽ*
,250412,ニュージG2,ムイ,,牝,3,6,12,2,14,3中5,芝1600,良,12,12,13,2阪1,芝,1400,良,,10,9,7,１,-0.3,1勝,今村聖奈,今村聖奈,458,-2,-8, 55 ,52▲,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),笹田和秀,250329,１勝ｸﾗｽ*
,250412,ニュージG2,アタラシイカドデニ,,牡,3,11,13,3,14,3中5,芝1600,良,13,12,11,2中7,芝,1600,良,2,4,3,5,１,-0.0,1勝,吉田豊,内田博幸,504,-4,0, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),上原博之,250322,１勝ｸﾗｽ*
,250412,ニュージG2,ベイビーキッス,,牝,3,10,14,6,14,3中5,芝1600,良,1,1,1,1小C,芝,1200,重,,2,2,3,１,-0.0,1勝,原優介,菊沢一樹,452,-4,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),青木孝文,250302,あざみ賞･1勝
,240406,ニュージG2,エコロブルーム,,牡,3,3,１,13,16,3中5,芝1600,稍,3,4,4,1京3,芝,1600,良,,4,4,1,２, 0.2,Ｇ３,横山武史,ルメール,472,+8,-4, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),加藤征弘,240108,シンザンG3
,240406,ニュージG2,ボンドガール,,牝,3,1,２,26,16,3中5,芝1600,稍,5,4,4,4東1,芝,1600,良,,7,6,1,２, 0.3,Ｇ３,武豊,川田将雅,450,-4,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),手塚貴久,231007,サウジアG3
,240406,ニュージG2,ユキノロイヤル,,牡,3,9,３,3,16,3中5,芝1600,稍,1,1,1,2中7,芝,1600,良,1,2,2,6,１,-0.1,1勝,石橋脩,石橋脩,444,0,0, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),小野次郎,240316,１勝ｸﾗｽ*
,240406,ニュージG2,カズミクラーシュ,,牡,3,5,４,3,16,3中5,芝1600,稍,9,7,7,1阪8,芝,1800,良,,4,3,1,１,-0.5,未勝利,菅原明良,川田将雅,482,-10,-4, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),吉岡辰弥,240317,未勝利
,240406,ニュージG2,ドリーミングアップ,,牡,3,12,５,3,16,3中5,芝1600,稍,14,14,12,1名4,芝,1600,良,10,10,10,5,４, 0.2,1勝,吉田豊,藤岡佑介,460,+2,-2, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),高橋文雅,240317,フローラ･1勝
,240406,ニュージG2,クリーンエア,,牡,3,16,６,5,16,3中5,芝1600,稍,2,3,3,2中3,芝,1600,稍,2,2,3,3,３, 0.4,1勝,松岡正海,大野拓弥,468,-4,+2, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),上原博之,240302,１勝ｸﾗｽ*
,240406,ニュージG2,エイムフォーエース,,牡,3,15,７,3,16,3中5,芝1600,稍,9,11,9,1名3,芝,1400,良,,15,14,9,14, 1.3,Ｇ３,森泰斗,本田正重,428,-2,0, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,[地],山下貴之,240316,ファルコG3
,240406,ニュージG2,オーサムストローク,,牡,3,10,８,16,16,3中5,芝1600,稍,3,4,4,5阪6,芝,1600,良,,7,10,7,14, 1.0,Ｇ１,田辺裕信,坂井瑠星,442,+2,-4, 57 , 56 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),伊藤圭三,231217,フューチG1
,240406,ニュージG2,エンヤラヴフェイス,,牡,3,8,９,3,16,3中5,芝1600,稍,12,11,9,1名3,芝,1400,良,,12,12,13,８, 0.7,Ｇ３,北村宏司,菊沢一樹,488,0,0, 57 , 57 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),森田直行,240316,ファルコG3
,240406,ニュージG2,スパークリシャール,,牡,3,6,10,5,16,3中5,芝1600,稍,11,9,9,2中3,芝,1600,稍,2,2,2,2,１,-0.1,1勝,浜中俊,Ｍ．デム,476,-8,+2, 57 , 57 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),小島茂之,240302,１勝ｸﾗｽ*
