Ｍ,日付,レース名,馬名S,Ｃ,性別,年齢,人気,着順,間隔,頭数,開催,距離,馬場状態,2角,3角,4角,前走開催,前芝・ダ,前距離,前走馬場状態,前2角,前3角,前4角,前走人気,前走着順,前走着差タイム,前クラス名,騎手,前騎手,馬体重,馬体重増減,前走馬体重増減,斤量,前走斤量,ブリンカー,前走B,馬印,前走馬印,馬印2,前走馬印2,馬印3,前走馬印3,馬印4,前走馬印4,多頭出し,所属,調教師,前走日付,前走レース名
,250413,桜花賞G1,エンブロイダリー,,牝,3,3,１,8,18,2阪6,芝1600,稍,,9,8,1東5,芝,1600,良,,2,2,3,１,-0.4,Ｇ３,モレイラ,ルメール,482,0,+8, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),森一誠,250215,クイーンG3
,250413,桜花賞G1,アルマヴェローチェ,,牝,3,2,２,18,18,2阪6,芝1600,稍,,11,10,7京4,芝,1600,良,,7,9,5,１,-0.2,Ｇ１,岩田望来,岩田望来,496,+12,0, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),上村洋行,241208,阪神ジュG1
,250413,桜花賞G1,リンクスティップ,,牝,3,4,３,9,18,2阪6,芝1600,稍,,18,15,1京4,芝,1800,稍,,3,2,3,２, 0.5,Ｇ３,Ｍ．デム,Ｍ．デム,472,0,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),西村真幸,250209,きさらぎG3
,250413,桜花賞G1,マピュース,,牝,3,9,４,8,18,2阪6,芝1600,稍,,12,12,1東5,芝,1600,良,,7,4,8,２, 0.4,Ｇ３,田辺裕信,田辺裕信,486,-8,0, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),和田勇介,250215,クイーンG3
,250413,桜花賞G1,エリカエクスプレス,,牝,3,1,５,13,18,2阪6,芝1600,稍,,1,1,1中4,芝,1600,良,2,3,3,2,１,-0.5,Ｇ３,戸崎圭太,戸崎圭太,456,0,0, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),杉山晴紀,250112,フェアリG3
,250413,桜花賞G1,チェルビアット,,牝,3,12,６,5,18,2阪6,芝1600,稍,,15,17,1阪3,芝,1400,良,,14,14,14,２, 0.1,Ｇ２,北村友一,北村友一,482,-2,+2, 55 , 55 ,B,B,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),高野友和,250308,フィリーG2
,250413,桜花賞G1,プリムツァール,,牝,3,18,７,4,18,2阪6,芝1600,稍,,15,15,2中5,芝,1600,良,7,9,9,3,２, 0.1,OP(L),津村明秀,津村明秀,450,-4,-6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),蛯名正義,250315,アネモネ(L)
,250413,桜花賞G1,ヴーレヴー,,牝,3,10,８,9,18,2阪6,芝1600,稍,,9,8,1京3,芝,1600,良,,2,2,4,１,-0.1,OP(L),浜中俊,浜中俊,480,+6,+18, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),武幸四郎,250210,エルフィ(L)
,250413,桜花賞G1,ブラウンラチェット,,牝,3,8,９,18,18,2阪6,芝1600,稍,,17,17,7京4,芝,1600,良,,11,12,1,16, 1.7,Ｇ１,横山武史,ルメール,444,+16,-12, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),手塚貴久,241208,阪神ジュG1
,250413,桜花賞G1,ショウナンザナドゥ,,牝,3,6,10,5,18,2阪6,芝1600,稍,,4,4,1阪3,芝,1400,良,,10,11,3,１,-0.1,Ｇ２,池添謙一,池添謙一,440,-2,+10, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),松下武士,250308,フィリーG2
,250413,桜花賞G1,ビップデイジー,,牝,3,5,11,6,18,2阪6,芝1600,稍,,6,4,1阪2,芝,1600,良,,2,2,1,３, 0.1,Ｇ２,幸英明,幸英明,440,+6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),松下武士,250302,チューリG2
,250413,桜花賞G1,ボンヌソワレ,,牝,3,13,12,5,18,2阪6,芝1600,稍,,4,4,1阪3,芝,1400,良,,4,4,7,３, 0.1,Ｇ２,川田将雅,川田将雅,442,-6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),宮田敬介,250308,フィリーG2
,250413,桜花賞G1,ナムラクララ,,牝,3,16,13,6,18,2阪6,芝1600,稍,,2,2,1阪2,芝,1600,良,,4,3,3,５, 0.3,Ｇ２,藤岡佑介,西村淳也,464,-6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),長谷川浩,250302,チューリG2
,250413,桜花賞G1,ウォーターガーベラ,,牝,3,11,14,6,18,2阪6,芝1600,稍,,12,12,1阪2,芝,1600,良,,9,11,7,２, 0.0,Ｇ２,武豊,武豊,438,-8,+4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),石橋守,250302,チューリG2
,250413,桜花賞G1,クリノメイ,,牝,3,7,15,6,18,2阪6,芝1600,稍,,2,2,1阪2,芝,1600,良,,4,3,9,１,-0.0,Ｇ２,酒井学,酒井学,440,-6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),須貝尚介,250302,チューリG2
,250413,桜花賞G1,ダンツエラン,,牝,3,17,16,5,18,2阪6,芝1600,稍,,12,12,1阪3,芝,1400,良,,10,8,8,６, 0.6,Ｇ２,団野大成,団野大成,488,-4,+10, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),本田優,250308,フィリーG2
,250413,桜花賞G1,ミストレス,,牝,3,14,17,7,18,2阪6,芝1600,稍,,6,4,ｻｳｼﾞ,ダ,1600,良,,,,,４, 1.8,Ｇ３,坂井瑠星,坂井瑠星,478,,, 55 , 53 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),矢作芳人,250222,サウダG3
,250413,桜花賞G1,トワイライトシティ,,牝,3,15,18,4,18,2阪6,芝1600,稍,,6,10,2中5,芝,1600,良,3,3,3,4,１,-0.1,OP(L),松山弘平,横山武史,452,-2,+4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),杉山晴紀,250315,アネモネ(L)
,240407,桜花賞G1,ステレンボッシュ,,牝,3,2,１,17,18,2阪6,芝1600,良,,11,8,5阪4,芝,1600,良,,11,10,5,２, 0.0,Ｇ１,モレイラ,ルメール,462,-4,-6, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),国枝栄,231210,阪神ジュG1
,240407,桜花賞G1,アスコリピチェーノ,,牝,3,1,２,17,18,2阪6,芝1600,良,,8,8,5阪4,芝,1600,良,,8,8,3,１,-0.0,Ｇ１,北村宏司,北村宏司,478,+10,-4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),黒岩陽一,231210,阪神ジュG1
,240407,桜花賞G1,ライトバック,,牝,3,7,３,9,18,2阪6,芝1600,良,,17,18,2京3,芝,1600,良,,5,5,1,１,-0.1,OP(L),坂井瑠星,坂井瑠星,470,-2,+2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),茶木太樹,240203,エルフィ(L)
,240407,桜花賞G1,スウィープフィート,,牝,3,6,４,5,18,2阪6,芝1600,良,,18,17,1阪3,芝,1600,稍,,14,14,5,１,-0.2,Ｇ２,武豊,武豊,464,-2,+4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),庄野靖志,240302,チューリG2
,240407,桜花賞G1,エトヴプレ,,牝,3,9,５,4,18,2阪6,芝1600,良,,2,2,1阪6,芝,1400,良,,1,1,11,１,-0.1,Ｇ２,鮫島克駿,藤岡佑介,458,0,-4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤岡健一,240310,フィリーG2
,240407,桜花賞G1,ワイドラトゥール,,牝,3,16,６,5,18,2阪6,芝1600,良,,13,12,1阪3,芝,1600,稍,,4,4,7,13, 0.9,Ｇ２,北村友一,北村友一,422,-6,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),藤原英昭,240302,チューリG2
,240407,桜花賞G1,セキトバイースト,,牝,3,10,７,5,18,2阪6,芝1600,良,,3,3,1阪3,芝,1600,稍,,1,1,9,２, 0.2,Ｇ２,藤岡佑介,藤岡佑介,438,-4,-10, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),四位洋文,240302,チューリG2
,240407,桜花賞G1,クイーンズウォーク,,牝,3,3,８,8,18,2阪6,芝1600,良,,8,8,1東5,芝,1600,良,,11,11,1,１,-0.1,Ｇ３,川田将雅,川田将雅,514,-2,-4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),中内田充,240210,クイーンG3
,240407,桜花賞G1,テウメッサ,,牝,3,15,９,4,18,2阪6,芝1600,良,,13,12,2中6,芝,1600,良,7,6,4,4,２, 0.0,OP(L),岩田望来,津村明秀,462,-6,+2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),金成貴史,240310,アネモネ(L)
,240407,桜花賞G1,ハワイアンティアレ,,牝,3,12,10,5,18,2阪6,芝1600,良,,16,15,1阪3,芝,1600,稍,,13,11,15,３, 0.3,Ｇ２,池添謙一,西村淳也,420,0,-2, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),松永幹夫,240302,チューリG2
,240407,桜花賞G1,イフェイオン,,牝,3,8,11,13,18,2阪6,芝1600,良,,8,8,1中2,芝,1600,良,4,4,4,5,１,-0.0,Ｇ３,西村淳也,西村淳也,472,-8,-4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(栗),杉山佳明,240107,フェアリG3
,240407,桜花賞G1,シカゴスティング,,牝,3,17,12,4,18,2阪6,芝1600,良,,6,5,1阪6,芝,1400,良,,2,2,3,12, 0.9,Ｇ２,浜中俊,鮫島克駿,434,-6,+12, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",*,(栗),庄野靖志,240310,フィリーG2
,240407,桜花賞G1,チェルヴィニア,,牝,3,4,13,23,18,2阪6,芝1600,良,,6,5,4東8,芝,1600,良,,3,3,1,１,-0.3,Ｇ３,ムルザバ,ルメール,488,+8,+4, 55 , 55 ,,,"  ","  ","  ","  ","  ","  ","  ","  ",,(美),木村哲也,231028,アルテミG3
