データ順番号,日付,曜日,開催,Ｒ,レース名,重量種別,限定,馬名S,Ｃ,性別,年齢,騎手,斤量,ブリンカー,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,上3F地点差,馬体重,馬体重増減,多頭出し,所属,調教師,種牡馬,母父馬
1,250413,日,2阪6,11,桜花賞G1,馬齢,国,エンブロイダリー,,牝,3,モレイラ, 55 ,,18,"  ",,3,１,芝1600,稍,-0.0,,9,8,34.0,0.5,482,0,,(美),森一誠,アドマイヤマーズ,クロフネ
2,250413,日,2阪6,11,桜花賞G1,馬齢,国,アルマヴェローチェ,,牝,3,岩田望来, 55 ,,18,"  ",,2,２,芝1600,稍,0.0,,11,10,33.9,0.6,496,+12,,(栗),上村洋行,ハービンジャー,ダイワメジャー
3,250413,日,2阪6,11,桜花賞G1,馬齢,国,リンクスティップ,,牝,3,Ｍ．デム, 55 ,,18,"  ",,4,３,芝1600,稍,0.4,,18,15,34.0,0.9,472,0,,(栗),西村真幸,キタサンブラック,"Kitten's Joy"
4,250413,日,2阪6,11,桜花賞G1,馬齢,国,マピュース,,牝,3,田辺裕信, 55 ,,18,"  ",,9,４,芝1600,稍,0.9,,12,12,34.7,0.7,486,-8,,(美),和田勇介,マインドユアビスケッツ,シンボリクリスエス
5,250413,日,2阪6,11,桜花賞G1,馬齢,国,エリカエクスプレス,,牝,3,戸崎圭太, 55 ,,18,"  ",,1,５,芝1600,稍,1.1,,1,1,35.6,0.0,456,0,*,(栗),杉山晴紀,エピファネイア,Galileo
6,250413,日,2阪6,11,桜花賞G1,馬齢,国,チェルビアット,,牝,3,北村友一, 55 ,B,18,"  ",,12,６,芝1600,稍,1.1,,15,17,34.5,1.1,482,-2,,(栗),高野友和,ロードカナロア,フレンチデピュティ
7,250413,日,2阪6,11,桜花賞G1,馬齢,国,プリムツァール,,牝,3,津村明秀, 55 ,,18,"  ",,18,７,芝1600,稍,1.1,,15,15,34.6,1.0,450,-4,,(美),蛯名正義,イスラボニータ,Footstepsinthesand
8,250413,日,2阪6,11,桜花賞G1,馬齢,国,ヴーレヴー,,牝,3,浜中俊, 55 ,,18,"  ",,10,８,芝1600,稍,1.4,,9,8,35.4,0.5,480,+6,,(栗),武幸四郎,サトノクラウン,マンハッタンカフェ
9,250413,日,2阪6,11,桜花賞G1,馬齢,国,ブラウンラチェット,,牝,3,横山武史, 55 ,,18,"  ",,8,９,芝1600,稍,1.4,,17,17,34.8,1.1,444,+16,,(美),手塚貴久,キズナ,Congrats
10,250413,日,2阪6,11,桜花賞G1,馬齢,国,ショウナンザナドゥ,,牝,3,池添謙一, 55 ,,18,"  ",,6,10,芝1600,稍,1.8,,4,4,36.1,0.2,440,-2,*,(栗),松下武士,キズナ,Pulpit
11,250413,日,2阪6,11,桜花賞G1,馬齢,国,ビップデイジー,,牝,3,幸英明, 55 ,,18,"  ",,5,11,芝1600,稍,1.9,,6,4,36.1,0.3,440,+6,*,(栗),松下武士,サトノダイヤモンド,キングカメハメハ
12,250413,日,2阪6,11,桜花賞G1,馬齢,国,ボンヌソワレ,,牝,3,川田将雅, 55 ,,18,"  ",,13,12,芝1600,稍,2.0,,4,4,36.2,0.3,442,-6,,(美),宮田敬介,レイデオロ,Kendargent
13,250413,日,2阪6,11,桜花賞G1,馬齢,国,ナムラクララ,,牝,3,藤岡佑介, 55 ,,18,"  ",,16,13,芝1600,稍,2.6,,2,2,37.0,0.1,464,-6,,(栗),長谷川浩,アドマイヤマーズ,"Storm Cat"
14,250413,日,2阪6,11,桜花賞G1,馬齢,国,ウォーターガーベラ,,牝,3,武豊, 55 ,,18,"  ",,11,14,芝1600,稍,2.6,,12,12,36.3,0.8,438,-8,,(栗),石橋守,レイデオロ,ヴィクトワールピサ
15,250413,日,2阪6,11,桜花賞G1,馬齢,国,クリノメイ,,牝,3,酒井学, 55 ,,18,"  ",,7,15,芝1600,稍,2.9,,2,2,37.3,0.1,440,-6,,(栗),須貝尚介,オルフェーヴル,プリサイスエンド
16,250413,日,2阪6,11,桜花賞G1,馬齢,国,ダンツエラン,,牝,3,団野大成, 55 ,,18,"  ",,17,16,芝1600,稍,3.8,,12,12,37.5,0.8,488,-4,,(栗),本田優,ロードカナロア,"Into Mischief"
17,250413,日,2阪6,11,桜花賞G1,馬齢,国,ミストレス,,牝,3,坂井瑠星, 55 ,,18,"  ",,14,17,芝1600,稍,4.8,,6,4,39.0,0.3,478,,,(栗),矢作芳人,キズナ,"Distorted Humor"
18,250413,日,2阪6,11,桜花賞G1,馬齢,国,トワイライトシティ,,牝,3,松山弘平, 55 ,,18,"  ",,15,18,芝1600,稍,5.2,,6,10,39.1,0.6,452,-2,*,(栗),杉山晴紀,エピファネイア,Oratorio
19,240407,日,2阪6,11,桜花賞G1,馬齢,国,ステレンボッシュ,,牝,3,モレイラ, 55 ,,18,"  ",,2,１,芝1600,良,-0.1,,11,8,33.4,0.7,462,-4,,(美),国枝栄,エピファネイア,ルーラーシップ
20,240407,日,2阪6,11,桜花賞G1,馬齢,国,アスコリピチェーノ,,牝,3,北村宏司, 55 ,,18,"  ",,1,２,芝1600,良,0.1,,8,8,33.5,0.7,478,+10,,(美),黒岩陽一,ダイワメジャー,"Danehill Dancer"
21,240407,日,2阪6,11,桜花賞G1,馬齢,国,ライトバック,,牝,3,坂井瑠星, 55 ,,18,"  ",,7,３,芝1600,良,0.1,,17,18,32.8,1.4,470,-2,,(栗),茶木太樹,キズナ,"Exceed And Excel"
22,240407,日,2阪6,11,桜花賞G1,馬齢,国,スウィープフィート,,牝,3,武豊, 55 ,,18,"  ",,6,４,芝1600,良,0.2,,18,17,33.0,1.3,464,-2,*,(栗),庄野靖志,スワーヴリチャード,ディープスカイ
23,240407,日,2阪6,11,桜花賞G1,馬齢,国,エトヴプレ,,牝,3,鮫島克駿, 55 ,,18,"  ",,9,５,芝1600,良,0.3,,2,2,34.2,0.2,458,0,,(栗),藤岡健一,"Too Darn Hot",Clodovil
24,240407,日,2阪6,11,桜花賞G1,馬齢,国,ワイドラトゥール,,牝,3,北村友一, 55 ,,18,"  ",,16,６,芝1600,良,0.3,,13,12,33.5,0.9,422,-6,,(栗),藤原英昭,カリフォルニアクローム,アグネスタキオン
25,240407,日,2阪6,11,桜花賞G1,馬齢,国,セキトバイースト,,牝,3,藤岡佑介, 55 ,,18,"  ",,10,７,芝1600,良,0.6,,3,3,34.4,0.3,438,-4,,(栗),四位洋文,デクラレーションオブウォー,Footstepsinthesand
26,240407,日,2阪6,11,桜花賞G1,馬齢,国,クイーンズウォーク,,牝,3,川田将雅, 55 ,,18,"  ",,3,８,芝1600,良,0.6,,8,8,34.1,0.6,514,-2,,(栗),中内田充,キズナ,Harlington
27,240407,日,2阪6,11,桜花賞G1,馬齢,国,テウメッサ,,牝,3,岩田望来, 55 ,,18,"  ",,15,９,芝1600,良,0.6,,13,12,33.7,1.0,462,-6,,(美),金成貴史,ハービンジャー,キングカメハメハ
28,240407,日,2阪6,11,桜花賞G1,馬齢,国,ハワイアンティアレ,,牝,3,池添謙一, 55 ,,18,"  ",,12,10,芝1600,良,0.7,,16,15,33.7,1.1,420,0,,(栗),松永幹夫,ロードカナロア,マンハッタンカフェ
29,240407,日,2阪6,11,桜花賞G1,馬齢,国,イフェイオン,,牝,3,西村淳也, 55 ,,18,"  ",,8,11,芝1600,良,0.7,,8,8,34.2,0.6,472,-8,,(栗),杉山佳明,エピファネイア,ゼンノロブロイ
30,240407,日,2阪6,11,桜花賞G1,馬齢,国,シカゴスティング,,牝,3,浜中俊, 55 ,,18,"  ",,17,12,芝1600,良,1.0,,6,5,34.6,0.5,434,-6,*,(栗),庄野靖志,ロゴタイプ,スクリーンヒーロー
31,240407,日,2阪6,11,桜花賞G1,馬齢,国,チェルヴィニア,,牝,3,ムルザバ, 55 ,,18,"  ",,4,13,芝1600,良,1.2,,6,5,34.8,0.5,488,+8,,(美),木村哲也,ハービンジャー,キングカメハメハ
32,240407,日,2阪6,11,桜花賞G1,馬齢,国,マスクオールウィン,,牝,3,津村明秀, 55 ,,18,"  ",,13,14,芝1600,良,1.3,,15,15,34.2,1.2,490,-2,,(美),牧光二,ドレフォン,ハーツクライ
33,240407,日,2阪6,11,桜花賞G1,馬齢,国,セシリエプラージュ,,牝,3,Ｍ．デム, 55 ,,18,"  ",,14,15,芝1600,良,1.3,,11,12,34.4,1.0,404,-6,,(栗),中村直也,ブリックスアンドモルタル,キングカメハメハ
34,240407,日,2阪6,11,桜花賞G1,馬齢,国,コラソンビート,,牝,3,横山武史, 55 ,,18,"  ",,5,16,芝1600,良,1.4,,3,5,35.0,0.5,454,+12,,(美),加藤士津,スワーヴリチャード,オルフェーヴル
35,240407,日,2阪6,11,桜花賞G1,馬齢,国,ショウナンマヌエラ,,牝,3,岩田康誠, 55 ,,18,"  ",,18,17,芝1600,良,1.8,,1,1,35.9,0.0,470,+2,,(栗),高野友和,ジャスタウェイ,シンボリクリスエス
36,240407,日,2阪6,11,桜花賞G1,馬齢,国,キャットファイト,,牝,3,松山弘平, 55 ,,18,"  ",,11,18,芝1600,良,1.9,,3,3,35.6,0.4,438,-4,,(美),上原博之,ディスクリートキャット,パイロ
37,230409,日,2阪6,11,桜花賞G1,定量,国,リバティアイランド,,牝,3,川田将雅, 55 ,,18,"  ",,1,１,芝1600,良,-0.2,,15,16,32.9,1.6,466,+4,,(栗),中内田充,ドゥラメンテ,"All American"
38,230409,日,2阪6,11,桜花賞G1,定量,国,コナコースト,,牝,3,鮫島克駿, 55 ,,18,"  ",,6,２,芝1600,良,0.2,,2,2,34.5,0.2,454,-4,*,(栗),清水久詞,キタサンブラック,キングカメハメハ
39,230409,日,2阪6,11,桜花賞G1,定量,国,ペリファーニア,,牝,3,横山武史, 55 ,,18,"  ",,5,３,芝1600,良,0.2,,4,4,34.1,0.6,490,-6,,(美),鹿戸雄一,モーリス,ハーツクライ
