Ｍ,日付,開催,Ｒ,レース名,馬名S,Ｃ,性別,年齢,斤量,頭数,人気,着順,芝・ダ,距離,コース区分,馬場状態,走破タイム,着差,上3F地点差,2角,3角,4角,Ave-3F,上り3F,PCI,好走,PCI3,RPCI,平均速度,-3F平均速度,上り3F平均速度,騎手,多頭出し,所属,調教師
,250413,2阪6,11,桜花賞G1,エンブロイダリー,,牝,3, 55 ,18,3,１,芝,1600,B,稍,1331,-0.0,0.5,,9,8,35.46,34.0,54.3,*,54.70,51.9,61.87,60.91,63.53,モレイラ,,(美),森一誠
,250413,2阪6,11,桜花賞G1,アルマヴェローチェ,,牝,3, 55 ,18,2,２,芝,1600,B,稍,1331,0.0,0.6,,11,10,35.52,33.9,54.8,*,54.70,51.9,61.87,60.81,63.72,岩田望来,,(栗),上村洋行
,250413,2阪6,11,桜花賞G1,リンクスティップ,,牝,3, 55 ,18,4,３,芝,1600,B,稍,1335,0.4,0.9,,18,15,35.70,34.0,55.0,*,54.70,51.9,61.60,60.50,63.53,Ｍ．デム,,(栗),西村真幸
,250413,2阪6,11,桜花賞G1,マピュース,,牝,3, 55 ,18,9,４,芝,1600,B,稍,1340,0.9,0.7,,12,12,35.58,34.7,52.5,*,54.70,51.9,61.28,60.71,62.25,田辺裕信,,(美),和田勇介
,250413,2阪6,11,桜花賞G1,エリカエクスプレス,,牝,3, 55 ,18,1,５,芝,1600,B,稍,1342,1.1,0.0,,1,1,35.16,35.6,48.8,*,54.70,51.9,61.15,61.43,60.67,戸崎圭太,*,(栗),杉山晴紀
,250413,2阪6,11,桜花賞G1,チェルビアット,,牝,3, 55 ,18,12,６,芝,1600,B,稍,1342,1.1,1.1,,15,17,35.82,34.5,53.8,*,54.70,51.9,61.15,60.30,62.61,北村友一,,(栗),高野友和
,250413,2阪6,11,桜花賞G1,プリムツァール,,牝,3, 55 ,18,18,７,芝,1600,B,稍,1342,1.1,1.0,,15,15,35.76,34.6,53.4,*,54.70,51.9,61.15,60.40,62.43,津村明秀,,(美),蛯名正義
,250413,2阪6,11,桜花賞G1,ヴーレヴー,,牝,3, 55 ,18,10,８,芝,1600,B,稍,1345,1.4,0.5,,9,8,35.46,35.4,50.2,,54.70,51.9,60.95,60.91,61.02,浜中俊,,(栗),武幸四郎
,250413,2阪6,11,桜花賞G1,ブラウンラチェット,,牝,3, 55 ,18,8,９,芝,1600,B,稍,1345,1.4,1.1,,17,17,35.82,34.8,52.9,,54.70,51.9,60.95,60.30,62.07,横山武史,,(美),手塚貴久
,250413,2阪6,11,桜花賞G1,ショウナンザナドゥ,,牝,3, 55 ,18,6,10,芝,1600,B,稍,1349,1.8,0.2,,4,4,35.28,36.1,47.7,,54.70,51.9,60.70,61.22,59.83,池添謙一,*,(栗),松下武士
