Ｍ,日付,開催,レース名,馬名S,Ｃ,性別,年齢,騎手,斤量,頭数,馬印,レース印１,人気,着順,距離,馬場状態,着差,2角,3角,4角,上り3F,間隔,前走開催,前走レース名,前芝・ダ,前距離,前走馬場状態,前走人気,前走着順,前2角,前3角,前4角,前走上り3F,替,前騎手,前走斤量,前走頭数,前走馬番,前走走破タイム,前走着差タイム,前走馬印,前走馬印2,前走馬印3,前走馬印4,前走レース印１,前走日付
,250413,2阪6,桜花賞G1,エンブロイダリー,,牝,3,モレイラ, 55 ,18,"  ",,3,１,芝1600,稍,-0.0,,9,8,34.0,8,1東5,クイーンG3,芝,1600,良,3,１,,2,2,34.9,*,ルメール, 55 ,14,7,1322,-0.4,"  ","  ","  ","  ",,250215
,250413,2阪6,桜花賞G1,アルマヴェローチェ,,牝,3,岩田望来, 55 ,18,"  ",,2,２,芝1600,稍,0.0,,11,10,33.9,18,7京4,阪神ジュG1,芝,1600,良,5,１,,7,9,34.3,,岩田望来, 55 ,18,12,1334,-0.2,"  ","  ","  ","  ",,241208
,250413,2阪6,桜花賞G1,リンクスティップ,,牝,3,Ｍ．デム, 55 ,18,"  ",,4,３,芝1600,稍,0.4,,18,15,34.0,9,1京4,きさらぎG3,芝,1800,稍,3,２,,3,2,35.9,,Ｍ．デム, 55 ,10,2,1475, 0.5,"  ","  ","  ","  ",,250209
,250413,2阪6,桜花賞G1,マピュース,,牝,3,田辺裕信, 55 ,18,"  ",,9,４,芝1600,稍,0.9,,12,12,34.7,8,1東5,クイーンG3,芝,1600,良,8,２,,7,4,34.8,,田辺裕信, 55 ,14,6,1326, 0.4,"  ","  ","  ","  ",,250215
,250413,2阪6,桜花賞G1,エリカエクスプレス,,牝,3,戸崎圭太, 55 ,18,"  ",,1,５,芝1600,稍,1.1,,1,1,35.6,13,1中4,フェアリG3,芝,1600,良,2,１,2,3,3,35.1,,戸崎圭太, 55 ,16,12,1328,-0.5,"  ","  ","  ","  ",,250112
,250413,2阪6,桜花賞G1,チェルビアット,,牝,3,北村友一, 55 ,18,"  ",,12,６,芝1600,稍,1.1,,15,17,34.5,5,1阪3,フィリーG2,芝,1400,良,14,２,,14,14,34.8,,北村友一, 55 ,18,14,1208, 0.1,"  ","  ","  ","  ",,250308
,250413,2阪6,桜花賞G1,プリムツァール,,牝,3,津村明秀, 55 ,18,"  ",,18,７,芝1600,稍,1.1,,15,15,34.6,4,2中5,アネモネ(L),芝,1600,良,3,２,7,9,9,34.6,,津村明秀, 55 ,12,6,1358, 0.1,"  ","  ","  ","  ",,250315
,250413,2阪6,桜花賞G1,ヴーレヴー,,牝,3,浜中俊, 55 ,18,"  ",,10,８,芝1600,稍,1.4,,9,8,35.4,9,1京3,エルフィ(L),芝,1600,良,4,１,,2,2,34.8,,浜中俊, 55 ,10,8,1353,-0.1,"  ","  ","  ","  ",,250210
,250413,2阪6,桜花賞G1,ブラウンラチェット,,牝,3,横山武史, 55 ,18,"  ",,8,９,芝1600,稍,1.4,,17,17,34.8,18,7京4,阪神ジュG1,芝,1600,良,1,16,,11,12,35.9,*,ルメール, 55 ,18,10,1351, 1.7,"  ","  ","  ","  ",,241208
,250413,2阪6,桜花賞G1,ショウナンザナドゥ,,牝,3,池添謙一, 55 ,18,"  ",,6,10,芝1600,稍,1.8,,4,4,36.1,5,1阪3,フィリーG2,芝,1400,良,3,１,,10,11,34.8,,池添謙一, 55 ,18,13,1207,-0.1,"  ","  ","  ","  ",,250308
