馬名,総合グレード,総合pt,過去パフォーマンス,前走ジャッジ,外厩&厩舎,血統ジャッジ,馬格,コース実績,前走脚質・上がり,年齢,前走情報,性齢,騎手,馬体重,厩舎,外厩名
ナムラクレア,A,48,S,S,S,A,Bp,S,A,C,阪神C G2 2着　ルメール騎手,牝7,浜中俊,56kg,栗東・長谷川浩厩舎,チャンピオンヒルズ
パンジャタワー,A,48,A,B,S,A,Bp,S,A,S,サウジ国際スプリント 5着,牡4,松山弘平,58kg,栗東・橋口慎介厩舎,
サトノレーヴ,A,45,A,B,S,S,S,S,B,C,香港スプリントG1 9着　（ルメール騎手予定）,牡7,ルメール,58kg,美浦・堀宣行厩舎,チャンピオンヒルズ
レイピア,A,45,A,A,A,A,A,C,Bp,S,オーシャンS G3 2着　戸崎圭太騎手,牡4,騎手未定,58kg,栗東・中竹和也厩舎,
ママコチャ,B+,42,S,A,S,Bp,Bp,Bp,B,C,オーシャンS G3 4着　川田将雅騎手,牝7,川田将雅,56kg,栗東・池江泰寿厩舎,
ジューンブレア,B+,40,A,A,A,none,Bp,S,A,B,阪神C G2 11着　武豊騎手,牝5,武豊,56kg,栗東・武英智厩舎,チャンピオンヒルズ
タマモブラックタイ,B+,38,Bp,A,A,B,S,none,Bp,Bp,米子城S OP 1着　幸英明騎手,牡6,騎手未定,58kg,栗東・角田晃一厩舎,
フィオライア,B+,38,A,B,B,A,B,S,C,B,オーシャンS G3 10着　太宰啓介騎手,牝5,太宰啓介,56kg,栗東・柴田卓也厩舎,
ヤマニンアルリフラ,B+,38,Bp,A,A,B,A,C,B,B,シルクロードS G3 3着　団野大成騎手,牡5,団野大成,58kg,栗東・斉藤崇史厩舎,宇治田原優駿S
ルガル,B,36,S,A,none,C,S,C,Bp,Bp,オーシャンS G3 3着　鮫島駿騎手,牡6,騎手未定,58kg,栗東・杉山晴紀厩舎,
ペアポルックス,B,33,A,S,B,D,B,C,C,B,オーシャンS G3 1着　岩田康誠騎手,牡5,岩田康誠,58kg,栗東・梅田智之厩舎,
インビンシブルパパ,B+,28,,E,,,A,S,B,B,オーシャンS G3 15着　佐々木大輔騎手,牡5,佐々木大輔,58kg,美浦・伊藤大士厩舎,
エーティーマクフィ,B,28,Bp,C,A,E,Bp,none,Bp,C,シルクロードS G3 8着　富田暁騎手,牡7,富田暁,58kg,栗東・武英智厩舎,チャンピオンヒルズ
ビッグシーザー,B,27,,,,,S,A,D,Bp,オーシャンS G3 9着　西村淳也騎手,牡6,西村淳也,58kg,栗東・杉山晴紀厩舎,
レッドモンレーヴ,B,26,,,,,A,none,C,C,東京新聞杯 G3 8着　酒井学騎手,牡7,酒井学,58kg,美浦・蛯名正義厩舎,ノーザンF天栄
ウインカーネリアン,B,22,Bp,,,,A,C,A,E,香港スプリントG1 11着,牡9,三浦皇成,58kg,美浦・鹿戸雄一厩舎,
プルパレイ,B,21,,,,,Bp,C,A,C,米子城S OP 2着,セン7,騎手未定,58kg,栗東・須貝尚介厩舎,
ヨシノイースター,B,21,B,,,,Bp,C,B,D,オーシャンS G3 5着　田辺裕信騎手,牡8,田辺裕信,58kg,栗東・中尾秀正厩舎,
ララマセラシオン,B,19,,,,,S,none,A,B,阪急杯 G3 2着　佐々木大輔騎手,牡5,騎手未定,58kg,美浦・大竹正博厩舎,チャンピオンヒルズ
ショウナンアビアス,B,18,,,,,A,none,A,Bp,千葉S OP 7着（ダート路線）,牡6,騎手未定,58kg,美浦・加藤士津八厩舎,
ピューロマジック,C,16,,,,,C,C,B,B,オーシャンS G3 16着　北村友一騎手,牝5,北村友一,56kg,栗東・安田翔伍厩舎,
ダノンマッキンリー,D,12,,,,,B,none,D,B,シルクロードS G3 15着　高杉吏磨騎手,牡5,高杉吏磨,58kg,栗東・藤原英昭厩舎,ノーザンFしがらき
