順,騎手名,属,1着,勝率,連対率,複勝率,G1,G2,G3,重賞合計,3週前複勝率,2週前複勝率,1週前複勝率,判定,判定理由
1,Ｃ．ルメール,関西,67,29.4,47.8,62.7,2,1,4,7,46.7,50.0,81.8,🔥🔥,本物・爆発中
2,岩田望来,関西,55,17.6,31.9,43.1,0,0,2,2,47.1,35.0,33.3,→,ニュートラル
3,松山弘平,関西,47,15.0,28.1,38.3,2,0,0,2,76.9,35.3,26.3,✅,安定本物
4,横山武史,関東,43,15.4,25.8,36.9,0,0,0,0,38.5,17.6,35.3,🎓,重賞未経験（軸不可）
5,川田将雅,関西,40,23.5,42.9,51.8,0,2,3,5,20.0,100.0,54.5,⚠️,G1ゼロ異常（高勝率なのに勝てない）
6,西村淳也,関西,40,15.0,25.9,38.3,0,1,0,1,14.3,22.2,0.0,📖,G1経験浅い（G1で軸要注意）
7,丹内祐次,関東,33,9.7,20.0,27.6,0,0,0,0,18.2,22.2,31.6,🎓,重賞未経験（軸不可）
8,戸崎圭太,関東,30,13.8,29.4,44.0,0,1,1,2,72.7,30.8,25.0,↘,急降下トレンド
9,坂井瑠星,関西,30,15.9,30.2,42.3,0,1,2,3,44.4,40.0,0.0,→,ニュートラル
10,武豊,関西,28,12.7,24.1,41.4,0,3,0,3,50.0,60.0,50.0,🔥,重賞勝てる新興
11,鮫島克駿,関西,27,10.6,17.6,25.5,0,0,0,0,41.2,23.5,47.4,🎓,重賞未経験（軸不可）
12,荻野極,関西,24,10.0,22.9,31.7,0,0,0,0,33.3,25.0,38.5,🎓,重賞未経験（軸不可）
13,津村明秀,関東,24,10.3,20.5,29.1,0,2,3,5,38.5,33.3,25.0,🔥,重賞勝てる新興
14,横山和生,関東,24,11.5,16.3,25.0,0,1,1,2,20.0,11.1,20.0,📖,G1経験浅い（G1で軸要注意）
15,高杉吏麒,関西,23,8.3,17.0,24.6,0,0,0,0,17.6,40.0,13.3,🎓,重賞未経験（軸不可）
16,斎藤新,関西,23,9.7,13.0,19.3,0,0,0,0,7.1,28.6,25.0,🎓,重賞未経験（軸不可）
17,北村友一,関西,18,7.7,20.1,29.1,2,0,0,2,14.3,18.2,25.0,→,ニュートラル
18,佐々木大輔,関東,18,6.0,15.8,20.8,0,0,0,0,45.5,25.0,28.6,🎓,重賞未経験（軸不可）
19,吉村誠之助,関西,18,5.5,13.5,22.2,0,0,0,0,15.0,12.5,25.0,🎓,重賞未経験（軸不可）
20,松若風馬,関西,18,7.3,14.5,23.4,0,0,0,0,26.7,16.7,33.3,🎓,重賞未経験（軸不可）
21,三浦皇成,関東,18,8.7,17.3,26.4,0,0,0,0,37.5,15.4,50.0,🎓,重賞未経験（軸不可）
22,舟山瑠泉,関東,18,8.9,17.7,27.1,0,0,0,0,30.8,31.3,38.5,🎓,重賞未経験（軸不可）
23,西塚洸二,関西,17,9.7,14.8,23.3,0,1,0,1,11.1,40.0,0.0,📖,G1経験浅い（G1で軸要注意）
24,Ｒ．キング,英国,16,21.1,34.2,44.7,0,0,0,0,0.0,0.0,0.0,⚠️,G1ゼロ異常（高勝率なのに勝てない）
25,田山旺佑,関西,15,5.8,13.1,19.6,0,0,0,0,25.0,35.7,22.2,🎓,重賞未経験（軸不可）
26,菊沢一樹,関東,15,5.5,9.8,14.5,0,0,1,1,22.2,11.8,18.8,📖,G1経験浅い（G1で軸要注意）
27,団野大成,関西,14,5.2,14.8,23.3,0,0,0,0,25.0,33.3,14.3,🎓,重賞未経験（軸不可）
28,幸英明,関西,14,5.9,14.7,20.6,0,0,1,1,11.1,16.7,22.2,📖,G1経験浅い（G1で軸要注意）
29,横山琉人,関東,14,7.1,10.2,15.7,0,0,0,0,9.1,5.3,9.1,🎓,重賞未経験（軸不可）
30,菱田裕二,関西,13,6.0,15.2,24.4,0,0,0,0,21.4,42.9,21.4,🎓,重賞未経験（軸不可）
31,田口貫太,関西,13,4.9,9.0,19.1,0,0,0,0,30.0,25.0,0.0,🎓,重賞未経験（軸不可）
32,小林美駒,関東,13,10.2,14.1,20.3,0,0,0,0,55.6,30.0,66.7,🎓,重賞未経験（軸不可）
33,丸山元気,関東,12,7.5,16.3,25.6,0,0,0,0,33.3,27.3,41.7,🎓,重賞未経験（軸不可）
34,田辺裕信,関東,12,7.6,15.9,24.8,0,0,0,0,20.0,30.8,25.0,🎓,重賞未経験（軸不可）
35,池添謙一,関西,12,7.4,13.5,21.5,0,0,0,0,21.4,0.0,20.0,🎓,重賞未経験（軸不可）
36,原優介,関東,11,4.4,11.2,15.3,0,1,1,2,11.1,25.0,23.5,📖,G1経験浅い（G1で軸要注意）
37,吉田隼人,関東,11,10.5,17.1,29.5,0,0,0,0,20.0,42.9,33.3,🎓,重賞未経験（軸不可）
38,岩田康誠,関西,10,4.2,10.5,19.8,0,0,1,1,17.6,6.3,20.0,📖,G1経験浅い（G1で軸要注意）
39,浜中俊,関西,10,6.6,16.4,23.7,0,0,0,0,36.4,62.5,0.0,🎓,重賞未経験（軸不可）
40,横山典弘,関東,10,9.4,17.9,25.5,0,1,0,1,60.0,57.1,16.7,↘,急降下トレンド
41,酒井学,関西,10,5.0,9.0,11.6,0,0,0,0,14.3,0.0,14.3,🎓,重賞未経験（軸不可）
42,Ｔ．ハマーハンセン,独国,9,8.1,17.1,21.6,0,0,2,2,0.0,0.0,0.0,→,ニュートラル
43,菅原明良,関東,9,6.9,13.7,28.2,0,0,0,0,0.0,0.0,16.7,🎓,重賞未経験（軸不可）
44,石川裕紀人,関東,9,5.9,11.8,19.7,0,0,0,0,30.0,44.4,20.0,🎓,重賞未経験（軸不可）
45,長浜鴻緒,関東,8,3.3,8.5,11.8,0,0,0,0,16.7,17.6,7.1,🎓,重賞未経験（軸不可）
46,Ｍ．ディー,豪州,8,8.6,20.4,26.9,0,0,0,0,36.4,6.3,31.3,🎓,重賞未経験（軸不可）
47,藤懸貴志,関西,8,5.2,11.1,14.4,0,0,1,1,16.7,11.1,0.0,📖,G1経験浅い（G1で軸要注意）
