順位,騎手名,所属,本年勝利,勝率,複勝率,G1,G2,G3,重賞合計,3週前,2週前,1週前,判定,理由
1,Ｃ．ルメール,関西,72,29.6,62.6,2,1,5,8,50,81.8,60,🔥🔥,本物・爆発中
2,岩田望来,関西,57,17.5,42.3,0,0,2,2,35,33.3,23.1,📖,G1経験浅い
3,松山弘平,関西,49,14.9,37.8,2,0,0,2,35.3,26.3,26.7,→,ニュートラル
4,横山武史,関東,44,15.2,36.2,0,0,0,0,17.6,35.3,18.2,🎓,重賞未経験
5,西村淳也,関西,43,15.4,38.7,0,2,0,2,22.2,0,46.2,📖,G1経験浅い
6,川田将雅,関西,40,22.6,52.5,0,2,3,5,100,54.5,71.4,⚠️,G1ゼロ異常（高勝率なのに勝てない）
7,丹内祐次,関東,33,9.2,27.1,0,0,0,0,22.2,31.6,16.7,🎓,重賞未経験
8,戸崎圭太,関東,32,13.9,46.1,0,1,1,2,30.8,25,83.3,📖,G1経験浅い
9,坂井瑠星,関西,30,15.2,41.4,0,1,2,3,40,0,22.2,🔥,重賞勝てる本物
10,武豊,関西,29,12.4,40.3,0,3,0,3,60,50,23.1,🔥,重賞勝てる本物
11,鮫島克駿,関西,29,10.6,25.2,0,0,0,0,23.5,47.4,21.1,🎓,重賞未経験
12,荻野極,関西,26,10.2,31.5,0,0,0,0,25,38.5,28.6,🎓,重賞未経験
13,津村明秀,関東,26,10.5,29,0,2,3,5,33.3,25,28.6,🔥,重賞勝てる本物
14,横山和生,関東,25,11.4,25,0,1,1,2,11.1,20,25,→,ニュートラル
15,高杉吏麒,関西,24,8.5,24.6,0,0,0,0,40,13.3,25,🎓,重賞未経験
16,舟山瑠泉,関東,24,11,29.8,0,0,0,0,31.3,38.5,66.7,🎓,重賞未経験
17,斎藤新,関西,23,9.2,18.8,0,0,0,0,28.6,25,8.3,🎓,重賞未経験
18,三浦皇成,関東,21,9.7,27.2,0,0,0,0,15.4,50,44.4,🎓,重賞未経験
19,北村友一,関西,20,8.1,28.9,2,0,0,2,18.2,25,25,→,ニュートラル
20,吉村誠之助,関西,20,5.8,22.4,0,0,0,0,12.5,25,26.3,🎓,重賞未経験
21,佐々木大輔,関東,18,5.8,20.4,0,0,0,0,25,28.6,13.3,→,ニュートラル
22,松若風馬,関西,18,6.9,22.6,0,0,0,0,16.7,33.3,7.7,→,ニュートラル
23,幸英明,関西,17,6.6,21.6,0,0,1,1,16.7,22.2,33.3,→,ニュートラル
24,西塚洸二,関西,17,9.1,21.9,0,1,0,1,40,0,0,→,ニュートラル
25,田山旺佑,関西,16,5.7,19.4,0,0,0,0,35.7,22.2,15.8,→,ニュートラル
26,菊沢一樹,関東,16,5.5,14.4,0,0,1,1,11.8,18.8,12.5,→,ニュートラル
27,Ｒ．キング,英国,16,21.1,44.7,0,0,0,0,0,0,0,→,ニュートラル
28,横山琉人,関東,15,7.2,16.4,0,0,0,0,5.3,9.1,30,→,ニュートラル
29,団野大成,関西,14,4.9,23.2,0,0,0,0,33.3,14.3,21.4,→,ニュートラル
30,小林美駒,関東,14,10.1,20.9,0,0,0,0,30,66.7,27.3,→,ニュートラル
31,菱田裕二,関西,13,5.8,24.3,0,0,0,0,42.9,21.4,22.2,→,ニュートラル
32,池添謙一,関西,13,7.4,23.3,0,0,0,0,0,20,46.2,→,ニュートラル
33,田口貫太,関西,13,4.9,19.1,0,0,0,0,25,0,0,→,ニュートラル
34,浜中俊,関西,12,7.6,24.7,0,0,0,0,62.5,0,50,→,ニュートラル
35,丸山元気,関東,12,7.1,24.3,0,0,0,0,27.3,41.7,0,→,ニュートラル
36,田辺裕信,関東,12,7.2,23.5,0,0,0,0,30.8,25,0,→,ニュートラル
37,吉田隼人,関東,12,11,30.3,0,0,0,0,42.9,33.3,50,→,ニュートラル
38,原優介,関東,11,4.3,14.9,0,1,1,2,25,23.5,0,→,ニュートラル
39,岩田康誠,関西,11,4.3,19.8,0,0,1,1,6.3,20,18.8,→,ニュートラル
40,横山典弘,関東,11,9.9,25.2,0,1,0,1,57.1,16.7,20,→,ニュートラル
41,小崎綾也,関西,11,7.1,21.9,0,0,0,0,14.3,50,60,→,ニュートラル
42,石川裕紀人,関東,10,6.3,19.5,0,0,0,0,44.4,20,14.3,→,ニュートラル
43,酒井学,関西,10,4.7,11.2,0,0,0,0,0,14.3,6.7,→,ニュートラル
44,Ｍ．ディー,豪州,9,8.6,27.6,0,0,0,0,6.3,31.3,33.3,→,ニュートラル
45,菅原明良,関東,9,6.4,27.7,0,0,0,0,0,16.7,0,→,ニュートラル
46,Ｄ．レーン,豪州,8,19.5,48.8,0,1,0,1,56.3,46.2,0,→,ニュートラル
47,長浜鴻緒,関東,8,3.3,11.8,0,0,0,0,17.6,7.1,0,→,ニュートラル
48,Ｔ．ハマーハンセン,独国,9,8.1,21.6,0,0,2,2,0,0,0,→,ニュートラル
49,藤懸貴志,関西,8,4.8,14.4,0,0,1,1,0,11.1,0,→,ニュートラル
50,小崎綾也,関西,8,5.5,19.3,0,0,0,0,11.1,14.3,50,→,ニュートラル
51,藤懸貴志,関西,8,4.8,14.4,0,0,1,1,11.1,0,14.3,→,ニュートラル
52,杉原誠人,関東,8,5.4,13.6,0,0,0,0,22.2,0,12.5,→,ニュートラル
53,富田暁,関西,7,3.7,14.8,0,0,0,0,25,14.3,33.3,→,ニュートラル
54,藤岡佑介,関西,7,12.3,38.6,0,1,0,1,0,0,0,→,ニュートラル
55,角田大和,関西,6,3.8,16.5,0,0,1,1,0,14.3,23.1,→,ニュートラル
56,松本大輝,関西,6,4.4,11.7,0,0,0,0,9.1,10,14.3,→,ニュートラル
57,古川吉洋,関西,6,3.7,9.3,0,1,1,2,0,0,0,→,ニュートラル
58,国分優作,関西,6,3.9,7.1,0,0,0,0,16.7,0,0,→,ニュートラル
