rank,name,本年勝率,本年複率,芝勝率,ダ勝率,G1,G2,G3,1人気勝率,1人気複勝率,10人気以降勝ち,OP複勝率,得意場,苦手場
1,Ｃ．ルメール,29.6,62.6,30.9,28,2,1,5,39.7,73,0,48.3,東京芝(73.5%),東京ダ(50.0%)
2,岩田望来,17.5,42.3,14.4,20,0,0,2,31.9,66.8,5,27.1,中京ダ(80.0%),東京芝(18.2%)
3,松山弘平,14.9,37.8,12.2,17.2,2,0,0,33.9,68.1,0,30.5,中山ダ(66.7%),小倉芝(20.0%)
4,横山武史,15.2,36.2,9.9,19.5,0,0,0,33.2,62.9,2,24.7,中京ダ(66.7%),阪神芝(0.0%)
5,川田将雅,22.6,52.5,22.6,22.6,0,2,3,34.6,68.4,0,45.7,東京ダ(80.0%),中山ダ(14.3%)
6,西村淳也,15.4,38.7,11.9,18.3,0,2,0,29.2,62.4,4,27.3,中山ダ(60.0%),東京ダ(12.5%)
7,丹内祐次,9.2,27.1,8.6,9.9,0,0,0,27.5,54,8,16.3,福島芝(39.3%),東京ダ(0.0%)
8,戸崎圭太,13.9,46.1,10.1,18,0,1,1,33.4,65.7,1,37.7,京都ダ(66.7%),阪神芝(0.0%)
9,坂井瑠星,15.2,41.4,14.1,16,0,1,2,35,65.5,0,33.6,中山ダ(60.0%),東京芝(20.0%)
10,武豊,12.4,40.3,12.1,12.8,0,3,0,30.5,65.1,1,33.8,中京ダ(66.7%),中京芝(14.3%)
11,鮫島克駿,10.6,25.2,11.4,9.9,0,0,0,31.7,66.5,3,24.6,中山芝(50.0%),阪神芝(12.9%)
12,荻野極,10.2,31.5,9.1,11.3,0,0,0,41.2,70.6,6,27,新潟ダ(66.7%),新潟芝(0.0%)
13,津村明秀,10.5,29,16.1,3.6,0,2,3,35.4,62.6,5,18.7,阪神芝(66.7%),阪神ダ(0.0%)
14,横山和生,11.4,25,11.6,11.2,0,1,1,35.5,65.2,2,23.2,阪神芝(66.7%),阪神ダ(0.0%)
15,高杉吏麒,8.5,24.6,7.4,9.3,0,0,0,36.9,68.9,9,15.4,中京ダ(53.8%),中山芝(0.0%)
16,斎藤新,9.2,18.8,8.7,9.8,0,0,0,18.1,44.4,8,20.3,福島ダ(35.3%),中京芝(0.0%)
17,北村友一,8.1,28.9,10.6,5.7,2,0,0,39.9,67.8,3,21.4,小倉芝(71.4%),中京ダ(0.0%)
18,佐々木大輔,5.8,20.4,6.8,5,0,0,0,38.2,66.9,5,18.8,京都芝(40.0%),阪神ダ(0.0%)
19,吉村誠之助,5.8,22.4,6.9,5,0,0,0,27.6,62.9,3,16.1,中京ダ(44.4%),東京芝(0.0%)
21,三浦皇成,9.7,27.2,6.7,12.4,0,0,0,26,68.5,6,21.1,阪神ダ(50.0%),中山芝(18.9%)
22,松若風馬,6.9,22.6,7.3,6.5,0,0,0,37.9,58.6,4,17.7,中京芝(36.8%),東京芝(0.0%)
