順,騎手,本年勝率,本年複率,芝勝率,ダ勝率,G1,G2,G3,1人気勝率,1人気複率,10人気↑勝,OP複率,得意場,苦手場
1,Ｃ．ルメール,29.6,62.6,30.9,28,2,1,5,39.7,73,0,48.3,東京芝(73.5%),東京ダ(50.0%)
2,岩田望来,17.5,42.3,14.4,20,0,0,2,31.9,66.8,5,27.1,中京ダ(80.0%),東京芝(18.2%)
3,松山弘平,14.9,37.8,12.2,17.2,2,0,0,33.9,68.1,0,30.5,中山ダ(66.7%),小倉芝(20.0%)
4,横山武史,15.2,36.2,9.9,19.5,0,0,0,33.2,62.9,2,24.7,中京ダ(66.7%),阪神芝(0.0%)
5,川田将雅,22.6,52.5,22.6,22.6,0,2,3,34.6,68.4,0,45.7,東京ダ(80.0%),中山ダ(14.3%)
6,西村淳也,15.4,38.7,11.9,18.3,0,2,0,29.2,62.4,4,27.3,中山ダ(60.0%),東京ダ(12.5%)
7,丹内祐次,9.2,27.1,8.6,9.9,0,0,0,27.5,54,8,16.3,福島芝(39.3%),東京ダ(0.0%)
8,戸崎圭太,13.9,46.1,10.1,18,0,1,1,33.4,65.7,1,37.7,京都ダ(66.7%),阪神芝(0.0%)
9,坂井瑠星,15.2,41.4,14.1,16,0,1,2,35,65.5,0,33.6,中山ダ(60.0%),東京芝(20.0%)
10,武豊,12.4,40.3,12.1,12.8,0,3,0,30.5,65.1,1,33.8,中京ダ(66.7%),中京芝(14.3%)
11,鮫島克駿,10.6,25.2,11.4,9.9,0,0,0,31.7,66.5,3,24.6,中山芝(50.0%),阪神芝(12.9%)
12,荻野極,10.2,31.5,9.1,11.3,0,0,0,41.2,70.6,6,27,新潟ダ(66.7%),新潟芝(0.0%)
13,津村明秀,10.5,29,16.1,3.6,0,2,3,35.4,62.6,5,18.7,阪神芝(66.7%),阪神ダ(0.0%)
14,横山和生,11.4,25,11.6,11.2,0,1,1,35.5,65.2,2,23.2,阪神芝(66.7%),阪神ダ(0.0%)
15,高杉吏麒,8.5,24.6,7.4,9.3,0,0,0,36.9,68.9,9,15.4,中京ダ(53.8%),中山芝(0.0%)
16,斎藤新,9.2,18.8,8.7,9.8,0,0,0,18.1,44.4,8,20.3,福島ダ(35.3%),中京芝(0.0%)
17,北村友一,8.1,28.9,10.6,5.7,2,0,0,39.9,67.8,3,21.4,小倉芝(71.4%),中京ダ(0.0%)
18,佐々木大輔,5.8,20.4,6.8,5,0,0,0,38.2,66.9,5,18.8,京都芝(40.0%),阪神ダ(0.0%)
19,吉村誠之助,5.8,22.4,6.9,5,0,0,0,27.6,62.9,3,16.1,中京ダ(44.4%),東京芝(0.0%)
21,三浦皇成,9.7,27.2,6.7,12.4,0,0,0,26,68.5,6,21.1,阪神ダ(50.0%),中山芝(18.9%)
22,松若風馬,6.9,22.6,7.3,6.5,0,0,0,37.9,58.6,4,17.7,中京芝(36.8%),東京芝(0.0%)
23,幸英明,6.6,21.6,6.7,6.5,0,0,1,28.1,54.7,4,16.6,中京芝(66.7%),中山ダ(0.0%)
24,西塚洸二,9.1,21.9,10.1,7.7,0,1,0,41.3,71.4,3,15.4,福島ダ(50.0%),中山芝(0.0%)
25,田山旺佑,5.7,19.4,2.3,8.7,0,0,0,33.3,50,1,15.4,中山ダ(50.0%),阪神芝(6.7%)
26,菊沢一樹,5.5,14.4,6.5,4.6,0,0,1,22,58.5,9,12.1,新潟芝(29.4%),中京ダ(0.0%)
27,Ｒ．キング,21.1,44.7,19.4,22.5,0,0,0,45.6,77.2,0,32.7,中山ダ(55.6%),東京芝(34.5%)
28,横山琉人,7.2,16.4,6.3,8.3,0,0,0,31,58.6,3,15.4,小倉ダ(27.3%),福島ダ(8.3%)
29,団野大成,4.9,23.2,4.7,5.1,0,0,0,26.3,64.2,4,19.5,中京芝(33.3%),東京芝(0.0%)
30,小林美駒,10.1,20.9,7.2,12.9,0,0,0,37.3,66.1,5,0,福島ダ(57.9%),中京ダ(0.0%)
31,菱田裕二,5.8,24.3,5.7,5.8,0,0,0,22,60,1,17.1,福島ダ(100.0%),新潟ダ(0.0%)
32,池添謙一,7.4,23.3,7.4,7.4,0,0,0,46.9,70.3,1,14.1,中京ダ(100.0%),中山芝(0.0%)
33,田口貫太,4.9,19.1,3.7,5.7,0,0,0,30.9,70.6,7,10.7,福島ダ(50.0%),小倉ダ(0.0%)
34,浜中俊,7.6,24.7,4.8,10.7,0,0,0,29.8,63.2,1,25,小倉ダ(45.5%),東京芝(0.0%)
35,丸山元気,7.1,24.3,8.2,5.6,0,0,0,24.6,57.4,0,28.2,阪神ダ(66.7%),阪神芝(0.0%)
36,田辺裕信,7.2,23.5,5.5,8.6,0,0,0,30.6,61.1,2,16.2,中山ダ(42.9%),京都ダ(0.0%)
37,吉田隼人,11,30.3,13.9,5.4,0,0,0,44,68,3,13.2,福島ダ(50.0%),阪神ダ(0.0%)
38,原優介,4.3,14.9,3.5,4.7,0,1,1,45.2,71,8,14.7,東京ダ(17.6%),阪神芝(0.0%)
39,岩田康誠,4.3,19.8,4.7,4.1,0,0,1,28.4,58.1,2,23.9,中山ダ(35.5%),阪神ダ(0.0%)
40,横山典弘,9.9,25.2,9,11.4,0,1,0,27.9,59,1,17.8,福島ダ(66.7%),小倉芝(0.0%)
41,小崎綾也,7.1,21.9,8.1,6.2,0,0,0,39.1,73.9,4,14.8,新潟ダ(71.4%),阪神芝(0.0%)
42,石川裕紀人,6.3,19.5,7.7,4.4,0,0,0,21.7,60,8,16.2,福島芝(29.2%),小倉芝(0.0%)
43,酒井学,4.7,11.2,3.6,5.4,0,0,0,28.6,62.9,3,10.7,小倉ダ(50.0%),小倉芝(0.0%)
44,Ｍ．ディー,8.6,27.6,6.3,10.5,0,0,0,25,62.5,1,18.8,中京ダ(42.9%),東京芝(19.0%)
45,菅原明良,6.4,27.7,6.7,6.2,0,0,0,33.3,66.7,3,19.4,中山ダ(41.0%),東京芝(17.2%)
46,Ｄ．レーン,16.7,51.9,20.6,10,1,1,0,39.5,75.3,0,27.5,阪神芝(75.0%),京都ダ(0.0%)
47,Ｔ．ハマーハンセン,8.1,21.6,5.2,11.3,0,0,2,55.6,77.8,0,22.2,阪神芝(75.0%),阪神ダ(0.0%)
48,木幡巧也,3.3,13.6,0,4.7,0,0,0,38.5,64.1,5,16,中山ダ(19.4%),京都芝(0.0%)
49,長浜鴻緒,3.1,11.9,4.5,2.3,0,0,0,58.3,75,4,0,新潟芝(28.6%),新潟ダ(0.0%)
50,小沢大仁,4.3,12.9,3.9,4.8,0,0,0,30,55,8,1.2,小倉ダ(29.2%),京都ダ(0.0%)
